Name;RAJ2000;DEJ2000;zl;zs;pzl;Grade;Ref
HSCJ141311.01-002748.2;213.29587;-00.46340;      ;      ; 0.540;C;h
HSCJ141311.64-012228.5;213.29850;-01.37457; 0.665;      ;      ;C;c
HSCJ141323.89-000649.8;213.34954;-00.11383;      ;      ;      ;C;f
HSCJ141325.68-014341.6;213.35700;-01.72823;      ;      ; 0.310;C;h
HSCJ141329.25+431131.0;213.37188;+43.19196; 0.550;      ;      ;C;d
HSCJ141334.00-021014.2;213.39167;-02.17061;      ;      ; 1.170;C;h
HSCJ141350.16+522343.0;213.45901;+52.39527; 0.738;      ;      ;C;c
HSCJ141352.66-004601.5;213.46943;-00.76709;      ;      ; 0.690;C;h
HSCJ141359.63+000840.7;213.49844;+00.14463;      ;      ; 0.910;C;h
HSCJ141359.52-013336.0;213.49800;-01.56000;      ;      ; 0.960;B;g
HSCJ141405.15-001546.5;213.52146;-00.26291;      ;      ; 0.810;C;h
HSCJ141410.18+525048.8;213.54240;+52.84690;      ;      ; 0.400;C;g
HSCJ141412.87-000730.5;213.55362;-00.12515; 0.574;      ;      ;C;c,f
HSCJ141420.86-013645.4;213.58690;-01.61260; 0.511;      ; 0.530;A;g
HSCJ141420.98-013646.2;213.58741;-01.61282;      ;      ; 0.490;A;h
HSCJ141421.52-002743.9;213.58965;-00.46219; 0.734;      ;      ;C;c,h
HSCJ141435.02+012641.3;213.64590;+01.44480; 0.467;      ;      ;C;c
HSCJ141435.59-001601.7;213.64831;-00.26714;      ;      ; 0.710;B;h
HSCJ141454.49+002912.6;213.72704;+00.48682; 0.515;      ;      ;C;c
HSCJ141458.83+523829.1;213.74511;+52.64142;      ;      ; 0.330;C;h
HSCJ141501.63-011832.4;213.75680;-01.30900;      ;      ; 0.580;C;g
HSCJ141503.10-003105.9;213.76290;-00.51830; 0.513;      ; 0.510;C;g,h
HSCJ141504.42+012042.7;213.76841;+01.34519;      ;      ; 0.950;C;h
HSCJ141514.89+524409.3;213.81205;+52.73592; 0.677;      ;      ;C;c
HSCJ141556.39+010144.4;213.98497;+01.02900;      ;      ; 0.550;C;h
HSCJ141558.21+523955.4;213.99256;+52.66539;      ;      ; 0.450;B;h
HSCJ141607.56+000551.2;214.03150;+00.09756;      ;      ; 0.750;C;h
HSCJ141620.64+014651.5;214.08598;+01.78098;      ;      ; 1.150;C;h
HSCJ141635.43+010128.9;214.14762;+01.02470; 0.700;      ;      ;B;c
HSCJ141646.59-011813.3;214.19413;-01.30370;      ;      ; 0.660;B;h
HSCJ141646.07-015228.8;214.19198;-01.87465;      ;      ;      ;C;f
HSCJ141649.82+013822.3;214.20757;+01.63953;      ;      ; 0.330;B;h
HSCJ141701.03+425825.7;214.25430;+42.97380;      ;      ; 0.750;C;g
HSCJ141711.56+521541.9;214.29815;+52.26163; 0.419;      ;      ;C;c
HSCJ141715.40+515057.8;214.31416;+51.84938;      ;      ; 0.750;C;h
HSCJ141720.50+515724.2;214.33543;+51.95674; 0.990;      ;      ;C;c
HSCJ141728.10+015935.3;214.36707;+01.99313; 0.401;      ;      ;B;c,g
HSCJ141731.96+011713.6;214.38317;+01.28712;      ;      ; 0.730;C;h
HSCJ141742.88+002700.6;214.42868;+00.45016;      ;      ; 0.710;C;h
HSCJ141743.80-000713.5;214.43250;-00.12042;      ;      ; 0.970;C;h
HSCJ141744.50+002150.9;214.43543;+00.36413;      ;      ; 0.930;C;h
HSCJ141745.52+002537.0;214.43966;+00.42696; 0.303;      ;      ;C;c
HSCJ141751.96+011918.1;214.46650;+01.32169;      ;      ; 0.420;C;h
HSCJ141753.45+011501.8;214.47270;+01.25050; 0.384;      ; 0.440;C;g
HSCJ141805.54+004435.2;214.52310;+00.74310;      ;      ; 0.920;B;g,h
HSCJ141807.20+003925.6;214.53001;+00.65711;      ;      ; 0.470;C;h
HSCJ141812.81-012404.4;214.55339;-01.40123;      ;      ;      ;C;f
HSCJ141815.73+015832.3;214.56556;+01.97564; 0.556; 2.139;      ;A;c,e
HSCJ141831.41-000052.6;214.63086;-00.01462; 0.263;      ;      ;B;c
HSCJ141836.86-003725.0;214.65360;-00.62360;      ;      ; 0.590;C;g,h
HSCJ141837.32+012342.7;214.65549;+01.39519; 0.540;      ;      ;C;c
HSCJ141838.44-002713.1;214.66018;-00.45365; 0.572;      ;      ;C;c
HSCJ141852.75-000357.2;214.71980;-00.06590;      ;      ; 0.550;B;g
HSCJ141905.90-010739.3;214.77457;-01.12758;      ;      ; 0.750;C;h
HSCJ141908.42+002049.6;214.78510;+00.34710; 0.339;      ; 0.360;B;g,h
HSCJ141909.86-002352.3;214.79109;-00.39786; 0.473;      ;      ;C;c
HSCJ141933.31+010223.8;214.88879;+01.03994;      ;      ; 1.120;B;h
HSCJ142009.06-001434.4;215.03774;-00.24288; 0.615;      ;      ;C;c,h
HSCJ142013.42+005925.4;215.05590;+00.99040;      ;      ; 0.960;B;g
HSCJ142014.96-002225.7;215.06233;-00.37380;      ;      ; 0.810;C;h
HSCJ142016.63+005718.7;215.06930;+00.95520; 0.507;      ; 0.490;B;g
HSCJ142017.78+005831.8;215.07410;+00.97550; 0.330;      ; 0.340;B;g,h
HSCJ142017.24+011848.0;215.07184;+01.31334;      ;      ;      ;C;f
HSCJ142018.01+005832.9;215.07506;+00.97579;      ;      ; 0.780;B;h
HSCJ142018.17+432703.1;215.07572;+43.45086; 0.560;      ;      ;C;d
HSCJ142031.47+002021.1;215.13113;+00.33920;      ;      ; 0.460;B;h
HSCJ142036.58-000733.2;215.15243;-00.12589;      ;      ; 0.320;C;h
HSCJ142048.46+000732.9;215.20190;+00.12580; 0.545;      ; 0.580;B;g
HSCJ142053.62+005620.6;215.22343;+00.93907; 0.616;      ;      ;B;c
HSCJ142056.24+004033.3;215.23432;+00.67592;      ;      ; 0.740;C;h
HSCJ142058.45+001037.9;215.24353;+00.17720; 0.526;      ;      ;C;c
HSCJ142103.67+002218.8;215.26530;+00.37190;      ;      ; 0.670;B;g,h
HSCJ142103.89+002300.2;215.26620;+00.38340;      ;      ; 0.640;C;g
HSCJ142111.18+000946.8;215.29660;+00.16300; 0.545;      ; 0.550;C;g
HSCJ142127.19+001205.0;215.36330;+00.20140;      ;      ; 0.550;B;g
HSCJ142136.03+522121.7;215.40013;+52.35603;      ;      ; 1.160;C;h
HSCJ142138.69+004650.9;215.41120;+00.78080; 0.145;      ; 0.120;C;g
HSCJ142141.68+003848.5;215.42366;+00.64680;      ;      ; 1.080;C;h
HSCJ142146.98+425245.3;215.44574;+42.87926; 0.745;      ;      ;C;d
HSCJ142147.76-005800.3;215.44899;-00.96676;      ;      ; 0.760;C;h
HSCJ142149.85-002402.9;215.45770;-00.40080;      ;      ; 0.620;B;g,h
HSCJ142154.49+004841.6;215.47703;+00.81156;      ;      ; 0.920;C;h
HSCJ142200.32-014410.7;215.50134;-01.73631;      ;      ; 0.570;C;h
HSCJ142218.88+005457.3;215.57866;+00.91593;      ;      ; 0.670;C;h
HSCJ142232.32+000134.6;215.63467;+00.02628;      ;      ; 0.230;B;h
HSCJ142234.29-000225.4;215.64285;-00.04038;      ;      ; 1.050;B;h
HSCJ142241.19+424608.1;215.67163;+42.76891; 0.605;      ;      ;B;d
HSCJ142242.29-000555.5;215.67621;-00.09874;      ;      ; 0.310;C;h
HSCJ142249.67-003311.6;215.70694;-00.55322; 0.453;      ;      ;C;c,f
HSCJ142304.42+012318.8;215.76840;+01.38856;      ;      ;      ;C;f
HSCJ142310.70+013132.5;215.79460;+01.52570;      ;      ; 1.080;C;g
HSCJ142318.72+001026.0;215.82800;+00.17390;      ;      ; 1.100;C;g
HSCJ142336.96-004034.7;215.90399;-00.67631;      ;      ; 0.880;B;h
HSCJ142341.39+004212.0;215.92244;+00.70333; 0.722;      ;      ;C;c
HSCJ142353.06+013446.9;215.97110;+01.57969; 0.519;      ;      ;B;d
HSCJ142353.88-002603.8;215.97450;-00.43440; 0.636;      ; 0.590;B;g
HSCJ142355.07+012328.0;215.97944;+01.39111;      ;      ; 0.230;C;h
HSCJ142403.41+000835.9;216.01420;+00.14330; 0.540;      ; 0.540;C;g
HSCJ142410.84-005317.1;216.04515;-00.88809;      ;      ; 0.880;C;h
HSCJ142449.80+004202.2;216.20750;+00.70060; 0.477;      ; 0.470;B;g
HSCJ142449.47+014034.8;216.20614;+01.67634; 0.382;      ;      ;C;c
HSCJ142449.01-005321.6;216.20420;-00.88934; 0.795; 1.302;      ;A;a,e,g
HSCJ142458.31+010913.0;216.24294;+01.15362;      ;      ; 0.270;C;h
HSCJ142502.70+013057.7;216.26124;+01.51604;      ;      ; 0.560;C;h
HSCJ142518.67-002525.4;216.32780;-00.42372;      ;      ; 0.610;C;h
HSCJ142528.07-011504.4;216.36695;-01.25123;      ;      ; 0.520;C;h
HSCJ142534.24-015312.2;216.39267;-01.88673;      ;      ; 0.560;C;h
HSCJ142542.59+002015.3;216.42746;+00.33760;      ;      ; 0.850;C;h
HSCJ142551.33+011641.3;216.46387;+01.27814;      ;      ; 1.180;C;h
HSCJ142556.92-002919.1;216.48719;-00.48863; 0.634;      ;      ;C;c
HSCJ142557.66+005618.6;216.49026;+00.93849;      ;      ; 0.520;C;h
HSCJ142557.74+005619.9;216.49059;+00.93887;      ;      ; 0.840;C;h
HSCJ142602.93+010842.0;216.51222;+01.14500;      ;      ; 0.860;B;h
HSCJ142610.91+000706.9;216.54547;+00.11860;      ;      ; 0.940;C;h
HSCJ142623.71+004735.9;216.59880;+00.79330; 0.509;      ; 0.520;C;g
HSCJ142640.64+000958.6;216.66934;+00.16628;      ;      ; 0.590;B;h
HSCJ142706.60+004314.5;216.77750;+00.72070; 0.295;      ; 0.280;B;g
HSCJ142711.47-004627.8;216.79780;-00.77440;      ;      ; 0.880;C;g
HSCJ142712.07-002742.1;216.80030;-00.46170; 0.306;      ; 0.310;C;g,h
HSCJ142716.08+440730.4;216.81700;+44.12510; 0.486;      ; 0.490;C;g
HSCJ142716.41-002933.8;216.81838;-00.49271;      ;      ; 0.240;C;h
HSCJ142720.55+001916.1;216.83562;+00.32114; 0.551; 1.266;      ;A;c,e
HSCJ142720.80+002734.1;216.83666;+00.45948;      ;      ; 0.730;C;h
HSCJ142729.55-004245.3;216.87311;-00.71258;      ;      ; 0.760;C;h
HSCJ142747.17+432607.7;216.94656;+43.43548; 0.587;      ;      ;C;d
HSCJ142748.36+000958.8;216.95152;+00.16632; 0.589;      ;      ;B;c
HSCJ142748.69+002743.8;216.95289;+00.46218; 0.728;      ;      ;C;c
HSCJ142754.88+003944.6;216.97867;+00.66240;      ;      ; 0.820;B;h
HSCJ142800.84-000421.1;217.00351;-00.07253;      ;      ; 0.750;C;h
HSCJ142811.66-005021.2;217.04858;-00.83922;      ;      ; 0.650;B;h
HSCJ142815.41+001338.6;217.06420;+00.22740;      ;      ; 0.540;C;g
HSCJ142818.00+004330.7;217.07500;+00.72520; 0.335;      ; 0.320;B;g
HSCJ142857.97-003721.7;217.24155;-00.62270;      ;      ; 0.270;C;h
HSCJ142915.13+004946.9;217.31303;+00.82969; 0.537;      ;      ;C;c
HSCJ143000.78-002754.5;217.50323;-00.46513;      ;      ; 1.010;C;h
HSCJ143001.81-015045.3;217.50756;-01.84592; 0.266;      ;      ;C;c
HSCJ143013.23+005450.4;217.55511;+00.91400;      ;      ; 0.830;C;h
HSCJ143104.10-003712.0;217.76707;-00.62000;      ;      ; 0.660;C;h
HSCJ143109.89+421518.0;217.79120;+42.25500;      ;      ; 0.580;C;g
HSCJ143113.87-000613.3;217.80780;-00.10370;      ;      ; 0.700;B;g,h
HSCJ143121.17-005344.2;217.83820;-00.89560; 0.403;      ; 0.430;C;g
HSCJ143150.86+013019.9;217.96193;+01.50551;      ;      ; 0.720;B;h
HSCJ143153.41-013352.1;217.97255;-01.56448;      ;      ; 0.700;B;h
HSCJ143153.41-013353.3;217.97255;-01.56481; 0.671;      ;      ;C;c,f
HSCJ143243.95-004553.4;218.18314;-00.76484;      ;      ; 0.450;B;h
HSCJ143243.78-012553.9;218.18240;-01.43165;      ;      ; 0.740;C;h
HSCJ143253.84-002716.8;218.22435;-00.45467;      ;      ; 1.100;C;h
HSCJ143329.93+424924.3;218.37471;+42.82341; 0.682;      ;      ;C;d
HSCJ143339.73+014224.8;218.41552;+01.70689;      ;      ; 0.320;C;h
HSCJ143408.93-001311.7;218.53720;-00.21991;      ;      ; 0.880;B;h
HSCJ143417.90+000515.8;218.57458;+00.08772;      ;      ; 0.390;C;h
HSCJ143438.06+431542.1;218.65860;+43.26170; 0.385;      ; 0.380;B;g
HSCJ143444.72-000948.6;218.68635;-00.16349;      ;      ; 0.540;C;h
HSCJ143454.40-005658.6;218.72666;-00.94960; 0.728;      ;      ;A;c,g
HSCJ143508.61+014139.0;218.78586;+01.69417; 0.487;      ;      ;C;c
HSCJ143512.68+430856.2;218.80285;+43.14895; 0.511;      ;      ;C;d
HSCJ143518.88-012526.2;218.82867;-01.42394;      ;      ; 0.980;B;h
HSCJ143519.08-010636.0;218.82950;-01.11000;      ;      ; 0.780;B;g,h
HSCJ143529.13+001812.5;218.87136;+00.30346;      ;      ; 0.600;B;h
HSCJ143611.09+432921.1;219.04620;+43.48920; 0.386;      ; 0.390;A;g
HSCJ143616.25+000602.2;219.06770;+00.10060; 0.337;      ; 0.320;C;g
HSCJ143632.18+010731.5;219.13407;+01.12542; 0.413;      ;      ;C;c
HSCJ143639.07-004039.6;219.16278;-00.67768;      ;      ; 0.780;C;h
HSCJ143640.99+004213.0;219.17080;+00.70360; 0.382;      ; 0.380;C;g
HSCJ143647.67-013342.2;219.19862;-01.56172;      ;      ; 0.760;C;h
HSCJ143719.26-004127.4;219.33025;-00.69094;      ;      ; 0.760;C;h
HSCJ143734.22-000255.3;219.39260;-00.04870; 0.627;      ; 0.630;B;g,h
HSCJ143741.93-003821.9;219.42471;-00.63943;      ;      ; 0.910;C;h
HSCJ143744.51+420535.3;219.43546;+42.09313; 0.429;      ;      ;C;d
HSCJ143750.06+001216.7;219.45860;+00.20463; 0.301;      ;      ;C;c,g
HSCJ143752.95-002631.7;219.47061;-00.44213; 0.546;      ;      ;C;c
HSCJ143810.36+000608.1;219.54315;+00.10225;      ;      ; 0.810;C;h
HSCJ143832.47-002326.5;219.63530;-00.39070;      ;      ; 0.810;C;g,h
HSCJ143840.51+013415.4;219.66880;+01.57095; 0.496;      ;      ;C;c
HSCJ143901.39+005117.9;219.75580;+00.85497;      ;      ; 0.750;B;h
HSCJ143917.26-003917.9;219.82192;-00.65496;      ;      ; 0.710;B;h
HSCJ143932.86+005357.8;219.88690;+00.89940; 0.313;      ; 0.310;C;g
HSCJ143955.56-002732.8;219.98150;-00.45910; 0.542;      ; 0.550;C;g,h
HSCJ143958.82+003651.2;219.99507;+00.61422; 0.524;      ;      ;C;c
HSCJ144031.58-013725.0;220.13160;-01.62360; 0.322;      ; 0.320;C;g
HSCJ144100.30+014001.6;220.25124;+01.66711;      ;      ; 0.720;C;h
HSCJ144101.48+013344.8;220.25616;+01.56245;      ;      ; 0.530;B;h
HSCJ144110.63-002754.4;220.29429;-00.46511;      ;      ; 0.350;C;h
HSCJ144126.83-001859.8;220.36180;-00.31660; 0.287;      ; 0.350;B;g
HSCJ144132.68-005358.2;220.38617;-00.89950;      ;      ; 0.490;A;h
HSCJ144132.81-005359.6;220.38670;-00.89990;      ;      ; 0.570;A;g
HSCJ144158.82+010740.1;220.49510;+01.12780; 0.373;      ; 0.380;C;g
HSCJ144201.89-010309.2;220.50789;-01.05255;      ;      ; 1.120;C;h
HSCJ144223.69+002834.1;220.59871;+00.47613; 0.314;      ;      ;C;c
HSCJ144230.97-002353.2;220.62906;-00.39811;      ;      ; 0.400;B;f,h
HSCJ144301.10+011159.7;220.75456;+01.19991;      ;      ; 0.780;C;h
HSCJ144307.16-004056.1;220.77985;-00.68225; 0.500; 1.071;      ;A;c,e,f
HSCJ144309.29+010211.8;220.78870;+01.03660; 0.529;      ; 0.540;B;g
HSCJ144320.64-012537.1;220.83598;-01.42698;      ;      ; 1.160;A;h
HSCJ144320.71-012537.0;220.83630;-01.42695; 1.000;      ;      ;B;f
HSCJ144350.82+012040.1;220.96173;+01.34447; 0.526;      ;      ;C;c
HSCJ144354.98-000731.1;220.97910;-00.12530;      ;      ; 0.890;B;g
HSCJ144403.08+003759.4;221.01284;+00.63317;      ;      ; 0.880;C;h
HSCJ144426.64+024706.0;221.11100;+02.78500; 0.491;      ; 0.470;C;g
HSCJ144428.74-005142.4;221.11976;-00.86179; 0.575;      ;      ;B;c,g
HSCJ144431.06+001004.8;221.12940;+00.16800;      ;      ; 0.700;C;g
HSCJ144443.43+004538.7;221.18096;+00.76074;      ;      ;      ;C;f
HSCJ144454.91-000209.4;221.22881;-00.03595; 0.692;      ;      ;C;c
HSCJ144456.98+010407.4;221.23743;+01.06873;      ;      ; 0.980;C;h
HSCJ144459.78-001826.3;221.24910;-00.30730;      ;      ; 0.730;C;g
HSCJ144519.90+004452.5;221.33291;+00.74791;      ;      ; 0.820;C;h
HSCJ144558.07+002421.7;221.49196;+00.40604;      ;      ; 0.740;C;h
HSCJ144603.49-004016.6;221.51455;-00.67128;      ;      ; 0.230;B;h
HSCJ144640.12-000350.2;221.66716;-00.06395;      ;      ; 0.890;C;h
HSCJ144643.24-004534.1;221.68016;-00.75949;      ;      ; 0.730;C;h
HSCJ144731.85+013419.2;221.88270;+01.57200;      ;      ; 0.360;C;g
HSCJ144734.04-000949.6;221.89181;-00.16377;      ;      ; 0.550;C;h
HSCJ144742.96-014618.4;221.92899;-01.77179;      ;      ; 0.970;C;h
HSCJ144759.40-004537.1;221.99750;-00.76030; 0.693;      ; 0.710;C;g
HSCJ144811.74-012257.7;222.04890;-01.38270; 0.217;      ; 0.220;C;g
HSCJ144815.77+023912.2;222.06570;+02.65340; 0.515;      ; 0.470;C;g
HSCJ144817.82-005731.6;222.07423;-00.95879;      ;      ; 1.090;C;h
HSCJ144922.35+004623.8;222.34312;+00.77327;      ;      ; 0.620;C;h
HSCJ144925.99-012352.1;222.35830;-01.39780;      ;      ; 0.380;C;g
HSCJ144931.58-012350.3;222.38160;-01.39730;      ;      ; 0.460;C;g
HSCJ144937.68-000243.8;222.40700;-00.04550; 0.529;      ; 0.570;B;g
HSCJ144948.46+002901.3;222.45190;+00.48370; 0.586;      ; 0.590;C;g
HSCJ144950.69+005536.5;222.46120;+00.92680; 0.421;      ; 0.450;C;g
HSCJ145020.04+003535.1;222.58348;+00.59309;      ;      ; 1.150;B;h
HSCJ145037.74-004543.7;222.65725;-00.76215;      ;      ; 0.890;C;h
HSCJ145039.91+005542.2;222.66630;+00.92840; 0.421;      ; 0.440;A;g
HSCJ145046.04+011107.6;222.69185;+01.18545; 0.545;      ;      ;C;c
HSCJ145053.21+012020.2;222.72171;+01.33895; 0.605;      ;      ;C;c
HSCJ145103.51-000526.5;222.76461;-00.09069; 0.505;      ;      ;C;c
HSCJ145106.38+011133.7;222.77660;+01.19270; 0.391;      ; 0.370;B;g
HSCJ145154.95+001620.4;222.97896;+00.27234;      ;      ; 0.420;C;h
HSCJ145157.99+005240.2;222.99162;+00.87784; 0.527;      ;      ;C;c
HSCJ145204.08+012624.9;223.01699;+01.44026;      ;      ; 0.720;C;h
HSCJ145217.42-014714.3;223.07259;-01.78730;      ;      ; 0.470;B;h
HSCJ145219.29+431439.8;223.08036;+43.24438; 0.509;      ;      ;C;d
HSCJ145236.66-002142.0;223.15276;-00.36168; 0.733;      ;      ;B;c
HSCJ145242.93+425731.9;223.17886;+42.95886; 0.718;      ;      ;A;d
HSCJ145320.11-001825.6;223.33380;-00.30710;      ;      ; 0.750;C;g,h
HSCJ145325.78-003331.9;223.35743;-00.55886;      ;      ; 0.380;C;h
HSCJ145336.18-010527.7;223.40075;-01.09102;      ;      ; 0.260;C;h
HSCJ145354.70-012800.3;223.47793;-01.46675;      ;      ; 0.320;C;h
HSCJ145402.92+013809.6;223.51216;+01.63601; 0.537;      ;      ;C;d
HSCJ145406.41+015844.4;223.52670;+01.97900; 0.368;      ; 0.380;C;g
HSCJ145408.17+002314.7;223.53404;+00.38743;      ;      ; 0.650;C;h
HSCJ145444.49+010027.7;223.68538;+01.00768;      ;      ; 0.260;C;h
HSCJ145447.72+001615.0;223.69883;+00.27083; 0.581;      ;      ;C;c
HSCJ145453.86-001432.6;223.72443;-00.24239;      ;      ; 0.890;C;h
HSCJ145459.16+015846.2;223.74648;+01.97951; 0.375;      ;      ;C;d
HSCJ145506.95+434550.7;223.77896;+43.76409; 0.660;      ;      ;C;d
HSCJ145508.54+430738.5;223.78560;+43.12737; 0.598;      ;      ;C;d
HSCJ145519.95-001734.6;223.83312;-00.29294;      ;      ; 1.180;C;h
HSCJ145555.83-013858.3;223.98264;-01.64953;      ;      ; 0.770;C;h
HSCJ145600.13-010545.2;224.00054;-01.09589;      ;      ; 0.600;C;h
HSCJ145607.50+000908.0;224.03126;+00.15223; 0.516;      ;      ;C;c
HSCJ145612.34+011941.6;224.05141;+01.32822; 0.555;      ;      ;C;c
HSCJ145625.15-012913.2;224.10481;-01.48700;      ;      ; 0.930;C;h
HSCJ145627.02-012220.7;224.11259;-01.37243;      ;      ; 0.850;C;h
HSCJ145657.88+005048.6;224.24117;+00.84682;      ;      ; 0.690;C;h
HSCJ145704.34+435733.5;224.26810;+43.95930; 0.679;      ; 0.660;C;g
HSCJ145732.58-015917.4;224.38573;-01.98815; 0.526;      ;      ;B;c
HSCJ145735.16+441213.4;224.39650;+44.20372; 0.288;      ;      ;C;d
HSCJ145759.19+423019.0;224.49664;+42.50529; 0.607;      ;      ;B;d
HSCJ145811.45-005601.5;224.54770;-00.93374;      ;      ; 0.370;C;h
HSCJ145830.12+000611.1;224.62549;+00.10309; 0.377;      ;      ;C;c
HSCJ145831.80+435032.6;224.63250;+43.84240; 0.327;      ; 0.310;C;g
HSCJ145836.29-002400.8;224.65120;-00.40021; 0.595;      ;      ;B;c,g
HSCJ145902.72-012351.2;224.76135;-01.39755; 0.482;      ;      ;B;c
HSCJ145914.72-000444.3;224.81132;-00.07896; 0.567;      ;      ;C;c
HSCJ145922.03+011912.7;224.84179;+01.32020; 0.703;      ;      ;C;c,h
HSCJ145930.94+441048.4;224.87890;+44.18010; 0.323;      ; 0.320;B;g
HSCJ145932.42+001908.5;224.88507;+00.31902;      ;      ; 0.490;C;h
HSCJ145957.12-005522.8;224.98800;-00.92300; 0.939;      ; 0.600;B;g
HSCJ150017.91-005939.2;225.07464;-00.99423;      ;      ; 0.870;C;h
HSCJ150021.02-004936.8;225.08760;-00.82689;      ;      ; 0.410;A;h
HSCJ150029.50+015119.6;225.12291;+01.85545; 0.529;      ;      ;C;d
HSCJ150112.17+422113.3;225.30070;+42.35370;      ;      ; 0.270;A;g
HSCJ150209.19-003111.7;225.53830;-00.51992;      ;      ; 0.420;C;h
HSCJ150239.50-001914.1;225.66458;-00.32057;      ;      ; 0.310;C;h
HSCJ150314.70+001017.1;225.81124;+00.17143;      ;      ; 0.440;C;h
HSCJ150333.75-002931.1;225.89065;-00.49198;      ;      ; 0.660;C;h
HSCJ150458.50-005645.7;226.24373;-00.94603; 0.770;      ;      ;C;d
HSCJ150527.01+420240.6;226.36255;+42.04462; 0.294;      ;      ;C;d
HSCJ150534.11+421104.9;226.39212;+42.18469; 0.587;      ;      ;C;d
HSCJ150635.21+432838.6;226.64670;+43.47740; 0.226;      ; 0.230;C;g
HSCJ150712.27+420944.0;226.80114;+42.16224; 0.486;      ;      ;C;d
HSCJ150723.16+424402.8;226.84650;+42.73410; 0.218;      ; 0.230;B;g
HSCJ150805.50+435315.9;227.02292;+43.88774; 0.517;      ;      ;C;d
HSCJ150837.01+425629.8;227.15420;+42.94160;      ;      ; 0.800;B;g
HSCJ151045.70+425555.9;227.69040;+42.93220;      ;      ; 0.750;B;g
HSCJ151321.89+433530.8;228.34120;+43.59190; 0.442;      ; 0.440;C;g
HSCJ151336.77+433251.1;228.40321;+43.54753; 0.487;      ;      ;B;d
HSCJ151357.12+433329.5;228.48800;+43.55820; 0.237;      ; 0.240;B;g
HSCJ151601.65+430024.3;229.00687;+43.00674; 0.370;      ;      ;C;d
HSCJ151713.90+432625.4;229.30790;+43.44040; 0.185;      ; 0.200;C;g
HSCJ151717.77+433919.6;229.32405;+43.65544; 0.493;      ;      ;C;d
HSCJ151848.42+435253.0;229.70176;+43.88140; 0.286;      ;      ;C;d
HSCJ152217.06+425738.5;230.57110;+42.96070;      ;      ; 0.350;C;g
HSCJ152243.99+423434.1;230.68329;+42.57613; 0.380;      ;      ;C;d
HSCJ152247.33+423540.6;230.69720;+42.59460; 0.379;      ; 0.390;B;g
HSCJ152343.56+430237.7;230.93150;+43.04380;      ;      ; 0.520;C;g
HSCJ152508.98+422752.6;231.28740;+42.46460;      ;      ; 0.850;B;g
HSCJ152538.42+443005.4;231.41007;+44.50150; 0.393;      ;      ;C;d
HSCJ152556.52+440940.7;231.48550;+44.16130; 0.388;      ; 0.390;B;g
HSCJ152632.69+440615.8;231.63620;+44.10440; 0.487;      ; 0.480;B;g
HSCJ152745.57+424306.8;231.93986;+42.71854; 0.558;      ;      ;C;d
HSCJ153144.74+432442.8;232.93643;+43.41189; 0.314;      ;      ;C;d
HSCJ153344.90+435336.3;233.43708;+43.89342; 0.665;      ;      ;C;d
HSCJ153518.51+425958.6;233.82711;+42.99960; 0.446;      ;      ;C;d
HSCJ153553.66+435244.0;233.97360;+43.87890;      ;      ; 0.660;C;g
HSCJ153723.40+435534.7;234.34750;+43.92630;      ;      ; 0.410;C;g
HSCJ153821.48+430432.9;234.58950;+43.07580; 0.269;      ; 0.280;C;g
HSCJ153910.96+423312.5;234.79566;+42.55348; 0.635;      ;      ;C;d
HSCJ153918.50+434049.4;234.82710;+43.68040;      ;      ; 0.600;C;g
HSCJ154219.61+434528.4;235.58170;+43.75790; 0.264;      ; 0.270;C;g
HSCJ154313.75+422743.3;235.80728;+42.46204;      ;      ; 0.710;C;h
HSCJ154453.38+442749.3;236.22240;+44.46370;      ;      ; 0.660;B;g
HSCJ154547.02+432648.7;236.44593;+43.44687;      ;      ; 0.470;C;h
HSCJ154654.17+435237.1;236.72569;+43.87697; 0.495;      ;      ;C;c
HSCJ154656.65+440840.9;236.73605;+44.14471;      ;      ; 0.630;C;h
HSCJ154729.68+423637.1;236.87365;+42.61029;      ;      ; 0.940;C;h
HSCJ154856.81+440715.0;237.23671;+44.12082;      ;      ; 1.180;C;h
HSCJ154901.30+424050.2;237.25540;+42.68060;      ;      ; 0.890;C;g,h
HSCJ154910.81+433633.5;237.29503;+43.60930;      ;      ; 0.880;C;h
HSCJ155008.11+422516.4;237.53381;+42.42123;      ;      ; 0.550;C;h
HSCJ155008.23+433109.8;237.53429;+43.51939; 0.497;      ;      ;C;c
HSCJ155209.91+441638.5;238.04129;+44.27737;      ;      ; 0.940;C;h
HSCJ155309.45+424424.2;238.28936;+42.74005;      ;      ; 0.450;C;h
HSCJ155319.39+431824.3;238.33079;+43.30675; 0.629;      ;      ;B;c
HSCJ155350.52+423401.2;238.46050;+42.56700;      ;      ; 0.930;C;g
HSCJ155358.98+425933.5;238.49573;+42.99265;      ;      ; 0.670;B;h
HSCJ155517.74+415138.7;238.82393;+41.86075; 0.555;      ;      ;B;c
HSCJ155522.63+424153.5;238.84428;+42.69818; 0.551;      ;      ;C;c
HSCJ155546.88+434358.7;238.94533;+43.73296;      ;      ; 1.020;C;h
HSCJ155619.50+422854.8;239.08125;+42.48189;      ;      ; 1.010;B;h
HSCJ155634.86+432413.8;239.14524;+43.40383;      ;      ; 0.690;B;h
HSCJ155717.02+424742.9;239.32090;+42.79526;      ;      ; 0.910;C;h
