mu  pmu  pmuanyl
0.010000 2.352229e+00 1.941180e+00
0.010393 1.896344e+00 1.938919e+00
0.010801 1.706990e+00 1.936572e+00
0.011225 1.925704e+00 1.934137e+00
0.011665 2.234457e+00 1.931611e+00
0.012123 2.202496e+00 1.928990e+00
0.012599 2.220220e+00 1.926272e+00
0.013094 2.573338e+00 1.923452e+00
0.013608 2.195819e+00 1.920527e+00
0.014142 1.708283e+00 1.917494e+00
0.014697 1.946553e+00 1.914349e+00
0.015274 2.206009e+00 1.911087e+00
0.015873 2.122682e+00 1.907705e+00
0.016496 2.273728e+00 1.904199e+00
0.017144 1.928268e+00 1.900564e+00
0.017817 1.962476e+00 1.896797e+00
0.018516 2.300351e+00 1.892892e+00
0.019243 2.147387e+00 1.888845e+00
0.019999 2.002696e+00 1.884651e+00
0.020784 2.049401e+00 1.880306e+00
0.021600 1.971989e+00 1.875805e+00
0.022448 2.180711e+00 1.871142e+00
0.023329 1.934832e+00 1.866313e+00
0.024245 2.196076e+00 1.861311e+00
0.025196 2.100508e+00 1.856132e+00
0.026185 2.063653e+00 1.850770e+00
0.027213 1.822174e+00 1.845219e+00
0.028282 2.068048e+00 1.839474e+00
0.029392 2.119710e+00 1.833529e+00
0.030546 1.935579e+00 1.827377e+00
0.031745 2.102785e+00 1.821013e+00
0.032991 2.023357e+00 1.814431e+00
0.034286 1.817134e+00 1.807624e+00
0.035632 2.087489e+00 1.800585e+00
0.037031 1.905632e+00 1.793309e+00
0.038484 1.965805e+00 1.785789e+00
0.039995 2.018714e+00 1.778018e+00
0.041565 1.896577e+00 1.769990e+00
0.043197 1.957393e+00 1.761697e+00
0.044893 1.911779e+00 1.753134e+00
0.046655 1.921324e+00 1.744294e+00
0.048486 1.901197e+00 1.735169e+00
0.050390 1.854616e+00 1.725753e+00
0.052368 1.905961e+00 1.716040e+00
0.054423 1.833967e+00 1.706023e+00
0.056560 1.865854e+00 1.695695e+00
0.058780 1.903530e+00 1.685049e+00
0.061088 1.790000e+00 1.674080e+00
0.063486 1.802498e+00 1.662781e+00
0.065978 1.898218e+00 1.651146e+00
0.068568 1.724529e+00 1.639169e+00
0.071260 1.819974e+00 1.626844e+00
0.074057 1.708306e+00 1.614166e+00
0.076964 1.800722e+00 1.601129e+00
0.079985 1.685015e+00 1.587729e+00
0.083125 1.789622e+00 1.573961e+00
0.086388 1.670509e+00 1.559821e+00
0.089780 1.692382e+00 1.545305e+00
0.093304 1.689779e+00 1.530408e+00
0.096967 1.606282e+00 1.515130e+00
0.100773 1.627620e+00 1.499466e+00
0.104729 1.645054e+00 1.483415e+00
0.108840 1.623803e+00 1.466976e+00
0.113113 1.584949e+00 1.450149e+00
0.117553 1.552121e+00 1.432932e+00
