mu  pmu  pmuanyl
0.010000 0.000000e+00 0.000000e+00
0.010393 0.000000e+00 0.000000e+00
0.010801 0.000000e+00 0.000000e+00
0.011225 0.000000e+00 0.000000e+00
0.011665 0.000000e+00 0.000000e+00
0.012123 0.000000e+00 0.000000e+00
0.012599 0.000000e+00 0.000000e+00
0.013094 0.000000e+00 0.000000e+00
0.013608 0.000000e+00 0.000000e+00
0.014142 0.000000e+00 0.000000e+00
0.014697 0.000000e+00 0.000000e+00
0.015274 0.000000e+00 0.000000e+00
0.015873 0.000000e+00 0.000000e+00
0.016496 0.000000e+00 0.000000e+00
0.017144 0.000000e+00 0.000000e+00
0.017817 0.000000e+00 0.000000e+00
0.018516 0.000000e+00 0.000000e+00
0.019243 0.000000e+00 0.000000e+00
0.019999 0.000000e+00 0.000000e+00
0.020784 0.000000e+00 0.000000e+00
0.021600 0.000000e+00 0.000000e+00
0.022448 0.000000e+00 0.000000e+00
0.023329 0.000000e+00 0.000000e+00
0.024245 0.000000e+00 0.000000e+00
0.025196 0.000000e+00 0.000000e+00
0.026185 0.000000e+00 0.000000e+00
0.027213 0.000000e+00 0.000000e+00
0.028282 0.000000e+00 0.000000e+00
0.029392 0.000000e+00 0.000000e+00
0.030546 0.000000e+00 0.000000e+00
0.031745 0.000000e+00 0.000000e+00
0.032991 0.000000e+00 0.000000e+00
0.034286 0.000000e+00 0.000000e+00
0.035632 0.000000e+00 0.000000e+00
0.037031 0.000000e+00 0.000000e+00
0.038484 0.000000e+00 0.000000e+00
0.039995 0.000000e+00 0.000000e+00
0.041565 0.000000e+00 0.000000e+00
0.043197 0.000000e+00 0.000000e+00
0.044893 0.000000e+00 0.000000e+00
0.046655 0.000000e+00 0.000000e+00
0.048486 0.000000e+00 0.000000e+00
0.050390 0.000000e+00 0.000000e+00
0.052368 0.000000e+00 0.000000e+00
0.054423 0.000000e+00 0.000000e+00
0.056560 0.000000e+00 0.000000e+00
0.058780 0.000000e+00 0.000000e+00
0.061088 0.000000e+00 0.000000e+00
0.063486 0.000000e+00 0.000000e+00
0.065978 0.000000e+00 0.000000e+00
0.068568 0.000000e+00 0.000000e+00
0.071260 0.000000e+00 0.000000e+00
0.074057 0.000000e+00 0.000000e+00
0.076964 0.000000e+00 0.000000e+00
0.079985 0.000000e+00 0.000000e+00
0.083125 0.000000e+00 0.000000e+00
0.086388 0.000000e+00 0.000000e+00
0.089780 0.000000e+00 0.000000e+00
0.093304 0.000000e+00 0.000000e+00
0.096967 0.000000e+00 0.000000e+00
0.100773 0.000000e+00 0.000000e+00
0.104729 0.000000e+00 0.000000e+00
0.108840 0.000000e+00 0.000000e+00
0.113113 0.000000e+00 0.000000e+00
0.117553 0.000000e+00 0.000000e+00
0.122168 0.000000e+00 0.000000e+00
0.126964 0.000000e+00 0.000000e+00
0.131948 0.000000e+00 0.000000e+00
0.137127 0.000000e+00 0.000000e+00
0.142510 0.000000e+00 0.000000e+00
0.148105 0.000000e+00 0.000000e+00
0.153919 0.000000e+00 0.000000e+00
0.159961 0.000000e+00 0.000000e+00
0.166240 0.000000e+00 0.000000e+00
0.172766 0.000000e+00 0.000000e+00
0.179548 0.000000e+00 0.000000e+00
0.186596 0.000000e+00 0.000000e+00
0.193921 0.000000e+00 0.000000e+00
0.201534 0.000000e+00 0.000000e+00
0.209445 0.000000e+00 0.000000e+00
0.217667 0.000000e+00 0.000000e+00
0.226212 0.000000e+00 0.000000e+00
0.235092 0.000000e+00 0.000000e+00
0.244320 0.000000e+00 0.000000e+00
0.253911 0.000000e+00 0.000000e+00
0.263879 0.000000e+00 0.000000e+00
0.274238 0.000000e+00 0.000000e+00
0.285003 0.000000e+00 0.000000e+00
0.296191 0.000000e+00 0.000000e+00
0.307818 0.000000e+00 0.000000e+00
0.319902 0.000000e+00 0.000000e+00
0.332460 0.000000e+00 0.000000e+00
0.345511 0.000000e+00 0.000000e+00
0.359074 0.000000e+00 0.000000e+00
0.373170 0.000000e+00 0.000000e+00
0.387819 1.399137e-01 0.000000e+00
0.403043 3.814482e-01 0.000000e+00
0.418865 5.095376e-01 0.000000e+00
0.435307 5.858561e-01 0.000000e+00
0.452396 6.396897e-01 0.000000e+00
0.470155 6.963147e-01 0.000000e+00
0.488611 7.255388e-01 0.000000e+00
0.507792 7.373141e-01 0.000000e+00
0.527725 7.643014e-01 0.000000e+00
0.548442 7.618147e-01 0.000000e+00
0.569971 7.806387e-01 0.000000e+00
0.592346 7.603121e-01 0.000000e+00
0.615599 7.756648e-01 0.000000e+00
0.639764 7.294028e-01 0.000000e+00
0.664879 7.535379e-01 0.000000e+00
0.690979 7.146042e-01 0.000000e+00
0.718104 7.027239e-01 0.000000e+00
0.746294 7.125337e-01 0.000000e+00
0.775590 6.716270e-01 0.000000e+00
0.806036 6.485017e-01 0.000000e+00
0.837678 6.304835e-01 0.000000e+00
0.870561 6.170565e-01 0.000000e+00
0.904736 5.657603e-01 0.000000e+00
0.940252 5.674736e-01 0.000000e+00
0.977162 5.497404e-01 0.000000e+00
1.015521 5.093835e-01 0.000000e+00
1.055386 4.952840e-01 0.000000e+00
1.096816 4.831719e-01 0.000000e+00
1.139872 4.474667e-01 0.000000e+00
1.184619 4.259841e-01 0.000000e+00
1.231122 4.054860e-01 0.000000e+00
1.279450 3.816877e-01 0.000000e+00
1.329676 3.686305e-01 0.000000e+00
1.381873 3.730306e-01 0.000000e+00
1.436120 1.085636e+00 0.000000e+00
1.492496 9.791881e-01 0.000000e+00
1.551084 7.742843e-01 0.000000e+00
1.611973 6.103920e-01 0.000000e+00
1.675252 4.966442e-01 0.000000e+00
1.741016 3.999686e-01 0.000000e+00
1.809360 3.328794e-01 0.000000e+00
1.880388 2.779829e-01 0.000000e+00
1.954204 2.304609e-01 0.000000e+00
2.030918 1.941476e-01 0.000000e+00
2.110643 1.653904e-01 0.000000e+00
2.193497 1.377042e-01 0.000000e+00
2.279605 1.182210e-01 0.000000e+00
2.369092 9.848624e-02 0.000000e+00
2.462092 8.521606e-02 0.000000e+00
2.558744 7.422160e-02 0.000000e+00
2.659189 6.053529e-02 0.000000e+00
2.763577 5.170390e-02 0.000000e+00
2.872063 4.408307e-02 0.000000e+00
2.984808 3.454031e-02 0.000000e+00
3.101979 2.857098e-02 0.000000e+00
3.223749 2.300332e-02 0.000000e+00
3.350299 2.051482e-02 0.000000e+00
3.481818 1.610362e-02 0.000000e+00
3.618499 1.499549e-02 0.000000e+00
3.760545 1.106228e-02 0.000000e+00
