mu  pmu  pmuanyl
0.010000 1.137305e+00 1.941180e+00
0.010393 1.172513e+00 1.938919e+00
0.010801 1.053009e+00 1.936572e+00
0.011225 1.302729e+00 1.934137e+00
0.011665 9.749610e-01 1.931611e+00
0.012123 1.273182e+00 1.928990e+00
0.012599 1.354047e+00 1.926272e+00
0.013094 1.054729e+00 1.923452e+00
0.013608 7.760915e-01 1.920527e+00
0.014142 1.378664e+00 1.917494e+00
0.014697 1.271313e+00 1.914349e+00
0.015274 1.329665e+00 1.911087e+00
0.015873 1.177085e+00 1.907705e+00
0.016496 1.083379e+00 1.904199e+00
0.017144 1.042456e+00 1.900564e+00
0.017817 9.574851e-01 1.896797e+00
0.018516 1.184552e+00 1.892892e+00
0.019243 1.182023e+00 1.888845e+00
0.019999 9.748925e-01 1.884651e+00
0.020784 1.211671e+00 1.880306e+00
0.021600 1.353952e+00 1.875805e+00
0.022448 1.085674e+00 1.871142e+00
0.023329 1.149132e+00 1.866313e+00
0.024245 1.005205e+00 1.861311e+00
0.025196 1.063959e+00 1.856132e+00
0.026185 1.085817e+00 1.850770e+00
0.027213 1.074654e+00 1.845219e+00
0.028282 1.292577e+00 1.839474e+00
0.029392 8.844461e-01 1.833529e+00
0.030546 1.223367e+00 1.827377e+00
0.031745 7.165304e-01 1.821013e+00
0.032991 1.378930e+00 1.814431e+00
0.034286 7.108092e-01 1.807624e+00
0.035632 1.322322e+00 1.800585e+00
0.037031 8.774997e-01 1.793309e+00
0.038484 1.139878e+00 1.785789e+00
0.039995 7.718373e-01 1.778018e+00
0.041565 1.074936e+00 1.769990e+00
0.043197 9.779140e-01 1.761697e+00
0.044893 1.013358e+00 1.753134e+00
0.046655 9.054320e-01 1.744294e+00
0.048486 8.879857e-01 1.735169e+00
0.050390 1.160754e+00 1.725753e+00
0.052368 7.601186e-01 1.716040e+00
0.054423 9.702334e-01 1.706023e+00
0.056560 9.335849e-01 1.695695e+00
0.058780 8.430395e-01 1.685049e+00
0.061088 9.175817e-01 1.674080e+00
0.063486 8.317381e-01 1.662781e+00
0.065978 9.111346e-01 1.651146e+00
0.068568 9.359562e-01 1.639169e+00
0.071260 7.068019e-01 1.626844e+00
0.074057 8.994923e-01 1.614166e+00
0.076964 7.705203e-01 1.601129e+00
0.079985 8.328229e-01 1.587729e+00
0.083125 7.427283e-01 1.573961e+00
0.086388 8.087093e-01 1.559821e+00
0.089780 7.872104e-01 1.545305e+00
0.093304 6.791157e-01 1.530408e+00
0.096967 7.037300e-01 1.515130e+00
0.100773 7.416384e-01 1.499466e+00
0.104729 7.136245e-01 1.483415e+00
0.108840 6.866689e-01 1.466976e+00
0.113113 6.607314e-01 1.450149e+00
0.117553 6.288631e-01 1.432932e+00
0.122168 6.450064e-01 1.415327e+00
0.126964 6.718297e-01 1.397335e+00
0.131948 6.402961e-01 1.378958e+00
0.137127 5.153999e-01 1.360200e+00
0.142510 5.871376e-01 1.341064e+00
0.148105 5.649597e-01 1.321556e+00
0.153919 5.647310e-01 1.301681e+00
0.159961 5.180070e-01 1.281445e+00
0.166240 5.473071e-01 1.260858e+00
0.172766 4.796129e-01 1.239926e+00
0.179548 4.569720e-01 1.218662e+00
0.186596 4.876002e-01 1.197074e+00
0.193921 4.566147e-01 1.175176e+00
0.201534 4.192126e-01 1.152981e+00
0.209445 4.460427e-01 1.130502e+00
0.217667 4.217301e-01 1.107757e+00
0.226212 3.734798e-01 1.084760e+00
0.235092 3.835609e-01 1.061530e+00
0.244320 3.790477e-01 1.038086e+00
0.253911 3.615306e-01 1.014447e+00
0.263879 3.447960e-01 9.906348e-01
0.274238 3.051118e-01 9.666710e-01
0.285003 3.078386e-01 9.425785e-01
0.296191 2.852399e-01 9.183811e-01
0.307818 2.823828e-01 8.941036e-01
0.319902 2.742558e-01 8.697714e-01
0.332460 2.614529e-01 8.454105e-01
0.345511 2.468747e-01 8.210479e-01
0.359074 2.352872e-01 7.967108e-01
0.373170 2.242228e-01 7.724269e-01
0.387819 2.136585e-01 7.482242e-01
0.403043 1.975258e-01 7.241312e-01
0.418865 1.958829e-01 7.001760e-01
0.435307 1.828854e-01 6.763870e-01
0.452396 1.687945e-01 6.527926e-01
