mu  pmu  pmuanyl
0.010000 2.439151e+00 1.941180e+00
0.010393 2.283584e+00 1.938919e+00
0.010801 2.258364e+00 1.936572e+00
0.011225 2.407984e+00 1.934137e+00
0.011665 2.204002e+00 1.931611e+00
0.012123 2.120750e+00 1.928990e+00
0.012599 1.831347e+00 1.926272e+00
0.013094 2.416692e+00 1.923452e+00
0.013608 2.180069e+00 1.920527e+00
0.014142 2.796962e+00 1.917494e+00
0.014697 1.749353e+00 1.914349e+00
0.015274 2.244367e+00 1.911087e+00
0.015873 1.951938e+00 1.907705e+00
0.016496 1.958131e+00 1.904199e+00
0.017144 2.576310e+00 1.900564e+00
0.017817 2.219996e+00 1.896797e+00
0.018516 2.100538e+00 1.892892e+00
0.019243 2.021194e+00 1.888845e+00
0.019999 2.373374e+00 1.884651e+00
0.020784 2.125133e+00 1.880306e+00
0.021600 1.953299e+00 1.875805e+00
0.022448 2.026355e+00 1.871142e+00
0.023329 2.288912e+00 1.866313e+00
0.024245 2.120880e+00 1.861311e+00
0.025196 2.145424e+00 1.856132e+00
0.026185 2.215437e+00 1.850770e+00
0.027213 2.083305e+00 1.845219e+00
0.028282 1.957994e+00 1.839474e+00
0.029392 2.108324e+00 1.833529e+00
0.030546 2.050269e+00 1.827377e+00
0.031745 2.222023e+00 1.821013e+00
0.032991 2.038180e+00 1.814431e+00
0.034286 1.961192e+00 1.807624e+00
0.035632 2.146127e+00 1.800585e+00
0.037031 1.887039e+00 1.793309e+00
0.038484 2.261136e+00 1.785789e+00
0.039995 1.879036e+00 1.778018e+00
0.041565 2.061822e+00 1.769990e+00
0.043197 1.999202e+00 1.761697e+00
0.044893 1.997110e+00 1.753134e+00
0.046655 1.935803e+00 1.744294e+00
0.048486 1.957856e+00 1.735169e+00
0.050390 1.988563e+00 1.725753e+00
0.052368 2.001569e+00 1.716040e+00
0.054423 1.938077e+00 1.706023e+00
0.056560 1.981425e+00 1.695695e+00
0.058780 1.850505e+00 1.685049e+00
0.061088 1.942479e+00 1.674080e+00
0.063486 1.848338e+00 1.662781e+00
0.065978 1.868446e+00 1.651146e+00
0.068568 1.865170e+00 1.639169e+00
0.071260 1.914981e+00 1.626844e+00
0.074057 1.771433e+00 1.614166e+00
0.076964 1.764479e+00 1.601129e+00
0.079985 1.821458e+00 1.587729e+00
0.083125 1.784379e+00 1.573961e+00
0.086388 1.770395e+00 1.559821e+00
0.089780 1.798978e+00 1.545305e+00
0.093304 1.688633e+00 1.530408e+00
0.096967 1.733625e+00 1.515130e+00
0.100773 1.694308e+00 1.499466e+00
0.104729 1.705844e+00 1.483415e+00
0.108840 1.689865e+00 1.466976e+00
0.113113 1.655174e+00 1.450149e+00
0.117553 1.570221e+00 1.432932e+00
0.122168 1.597247e+00 1.415327e+00
0.126964 1.635568e+00 1.397335e+00
0.131948 1.493849e+00 1.378958e+00
0.137127 1.538379e+00 1.360200e+00
0.142510 1.558909e+00 1.341064e+00
0.148105 1.477769e+00 1.321556e+00
0.153919 1.490477e+00 1.301681e+00
0.159961 1.430056e+00 1.281445e+00
0.166240 1.415694e+00 1.260858e+00
0.172766 1.388929e+00 1.239926e+00
0.179548 1.409898e+00 1.218662e+00
0.186596 1.324846e+00 1.197074e+00
0.193921 1.363189e+00 1.175176e+00
0.201534 1.272444e+00 1.152981e+00
0.209445 1.277888e+00 1.130502e+00
0.217667 1.235676e+00 1.107757e+00
0.226212 1.238542e+00 1.084760e+00
0.235092 1.197367e+00 1.061530e+00
0.244320 1.154838e+00 1.038086e+00
0.253911 1.163142e+00 1.014447e+00
0.263879 1.114210e+00 9.906348e-01
0.274238 1.122604e+00 9.666710e-01
0.285003 1.038565e+00 9.425785e-01
0.296191 1.014916e+00 9.183811e-01
0.307818 1.008704e+00 8.941036e-01
0.319902 9.912092e-01 8.697714e-01
0.332460 9.041962e-01 8.454105e-01
0.345511 9.654415e-01 8.210479e-01
0.359074 8.518655e-01 7.967108e-01
0.373170 8.921174e-01 7.724269e-01
0.387819 7.802269e-01 7.482242e-01
0.403043 8.145451e-01 7.241312e-01
0.418865 7.869251e-01 7.001760e-01
0.435307 7.087398e-01 6.763870e-01
0.452396 7.213130e-01 6.527926e-01
0.470155 6.772411e-01 6.294205e-01
0.488611 6.435646e-01 6.062983e-01
0.507792 6.439217e-01 5.834531e-01
0.527725 5.696312e-01 5.609111e-01
0.548442 5.625387e-01 5.386981e-01
0.569971 5.401334e-01 5.168387e-01
0.592346 5.163922e-01 4.953565e-01
0.615599 4.765400e-01 4.742743e-01
0.639764 4.595701e-01 4.536132e-01
0.664879 4.313043e-01 4.333932e-01
0.690979 4.121505e-01 4.136331e-01
0.718104 3.874023e-01 3.943499e-01
0.746294 3.551022e-01 3.755591e-01
0.775590 3.391390e-01 3.572745e-01
0.806036 3.165144e-01 3.395085e-01
0.837678 2.943281e-01 3.222716e-01
0.870561 2.771525e-01 3.055725e-01
0.904736 2.564826e-01 2.894182e-01
0.940252 2.404844e-01 2.738141e-01
0.977162 2.192572e-01 2.587636e-01
1.015521 2.025362e-01 2.442688e-01
1.055386 1.880148e-01 2.303296e-01
1.096816 1.712963e-01 2.169447e-01
1.139872 1.665610e-01 2.041110e-01
1.184619 1.452442e-01 1.918240e-01
1.231122 1.322613e-01 1.800778e-01
1.279450 1.282959e-01 1.688650e-01
1.329676 1.100637e-01 1.581770e-01
1.381873 1.049522e-01 1.480042e-01
1.436120 9.272519e-02 1.383357e-01
1.492496 8.833930e-02 1.291596e-01
1.551084 7.650222e-02 1.204635e-01
1.611973 7.402147e-02 1.122338e-01
1.675252 6.414227e-02 1.044565e-01
1.741016 1.976536e-01 9.711704e-02
1.809360 2.248004e-01 9.020023e-02
1.880388 1.833543e-01 8.369066e-02
1.954204 1.335864e-01 7.757264e-02
2.030918 7.498194e-02 7.183029e-02
2.110643 1.530447e-02 6.644765e-02
2.193497 0.000000e+00 6.140876e-02
2.279605 7.229653e-03 5.669771e-02
2.369092 2.782627e-02 5.229876e-02
2.462092 4.364357e-02 4.819634e-02
2.558744 5.358874e-02 4.437516e-02
2.659189 5.900173e-02 4.082024e-02
2.763577 6.392934e-02 3.751695e-02
2.872063 5.876016e-02 3.445107e-02
2.984808 3.953426e-02 3.160879e-02
3.101979 2.784002e-02 2.897676e-02
3.223749 2.290308e-02 2.654213e-02
3.350299 1.790584e-02 2.429252e-02
3.481818 1.457880e-02 2.221608e-02
3.618499 1.366375e-02 2.030147e-02
3.760545 1.314763e-02 1.853787e-02
3.908168 1.265100e-02 1.691499e-02
4.061586 1.266006e-02 1.542305e-02
4.221026 1.030773e-02 1.405278e-02
4.386726 1.036921e-02 1.279545e-02
4.558929 9.399126e-03 1.164277e-02
4.737893 7.791835e-03 1.058699e-02
4.923883 8.702472e-03 9.620788e-03
5.117173 6.054869e-03 8.737309e-03
5.318051 6.941806e-03 7.930135e-03
5.526815 5.486810e-03 7.193266e-03
