mu  pmu  pmuanyl
0.010000 2.315921e+00 1.941180e+00
0.010393 1.583366e+00 1.938919e+00
0.010801 2.257123e+00 1.936572e+00
0.011225 1.954678e+00 1.934137e+00
0.011665 2.298810e+00 1.931611e+00
0.012123 2.111433e+00 1.928990e+00
0.012599 2.080051e+00 1.926272e+00
0.013094 1.489475e+00 1.923452e+00
0.013608 2.149820e+00 1.920527e+00
0.014142 2.025519e+00 1.917494e+00
0.014697 2.073414e+00 1.914349e+00
0.015274 2.434016e+00 1.911087e+00
0.015873 1.958129e+00 1.907705e+00
0.016496 1.958054e+00 1.904199e+00
0.017144 1.635250e+00 1.900564e+00
0.017817 1.915543e+00 1.896797e+00
0.018516 2.402727e+00 1.892892e+00
0.019243 1.995261e+00 1.888845e+00
0.019999 1.797996e+00 1.884651e+00
0.020784 2.111285e+00 1.880306e+00
0.021600 1.918672e+00 1.875805e+00
0.022448 2.036248e+00 1.871142e+00
0.023329 1.802587e+00 1.866313e+00
0.024245 2.388077e+00 1.861311e+00
0.025196 1.572228e+00 1.856132e+00
0.026185 1.885232e+00 1.850770e+00
0.027213 2.149952e+00 1.845219e+00
0.028282 2.133390e+00 1.839474e+00
0.029392 1.679568e+00 1.833529e+00
0.030546 1.995217e+00 1.827377e+00
0.031745 1.977448e+00 1.821013e+00
0.032991 1.847334e+00 1.814431e+00
0.034286 1.919759e+00 1.807624e+00
0.035632 1.727516e+00 1.800585e+00
0.037031 2.007881e+00 1.793309e+00
0.038484 1.821183e+00 1.785789e+00
0.039995 1.980965e+00 1.778018e+00
0.041565 1.832825e+00 1.769990e+00
0.043197 1.834138e+00 1.761697e+00
0.044893 1.805584e+00 1.753134e+00
0.046655 1.933328e+00 1.744294e+00
0.048486 1.747174e+00 1.735169e+00
0.050390 1.753747e+00 1.725753e+00
0.052368 1.931900e+00 1.716040e+00
0.054423 1.646158e+00 1.706023e+00
0.056560 1.896463e+00 1.695695e+00
0.058780 1.762618e+00 1.685049e+00
0.061088 1.725969e+00 1.674080e+00
0.063486 1.775972e+00 1.662781e+00
0.065978 1.828973e+00 1.651146e+00
0.068568 1.573233e+00 1.639169e+00
0.071260 1.787490e+00 1.626844e+00
0.074057 1.621217e+00 1.614166e+00
0.076964 1.694596e+00 1.601129e+00
0.079985 1.661065e+00 1.587729e+00
0.083125 1.656975e+00 1.573961e+00
0.086388 1.657880e+00 1.559821e+00
0.089780 1.622410e+00 1.545305e+00
0.093304 1.593787e+00 1.530408e+00
0.096967 1.609007e+00 1.515130e+00
0.100773 1.548230e+00 1.499466e+00
0.104729 1.559581e+00 1.483415e+00
0.108840 1.534268e+00 1.466976e+00
0.113113 1.551747e+00 1.450149e+00
0.117553 1.513871e+00 1.432932e+00
0.122168 1.441721e+00 1.415327e+00
0.126964 1.473667e+00 1.397335e+00
0.131948 1.445716e+00 1.378958e+00
0.137127 1.435552e+00 1.360200e+00
0.142510 1.377050e+00 1.341064e+00
0.148105 1.407335e+00 1.321556e+00
0.153919 1.318540e+00 1.301681e+00
0.159961 1.360175e+00 1.281445e+00
0.166240 1.290467e+00 1.260858e+00
0.172766 1.315802e+00 1.239926e+00
0.179548 1.300045e+00 1.218662e+00
0.186596 1.228075e+00 1.197074e+00
0.193921 1.209972e+00 1.175176e+00
0.201534 1.224749e+00 1.152981e+00
0.209445 1.166848e+00 1.130502e+00
0.217667 1.156372e+00 1.107757e+00
0.226212 1.134246e+00 1.084760e+00
0.235092 1.117326e+00 1.061530e+00
0.244320 1.087594e+00 1.038086e+00
0.253911 1.051313e+00 1.014447e+00
0.263879 1.034697e+00 9.906348e-01
0.274238 1.011170e+00 9.666710e-01
0.285003 9.644220e-01 9.425785e-01
0.296191 9.609151e-01 9.183811e-01
0.307818 9.364981e-01 8.941036e-01
0.319902 9.030289e-01 8.697714e-01
