#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
021223-034530,33.097220,-3.758610,0.491,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,"SuGOHI10 Gavazzi et al. 2014"
021405-052939,33.523330,-5.494410,0.612,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
021517-061741,33.822190,-6.294840,0.247,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,"SuGOHI10 Gavazzi et al. 2014"
021645-020835,34.188987,-2.143110,-99.000,-99.000,0.61,-99.00,-99.,20.09,-99.00,GG,V,B,SuGOHI6
021743-054938,34.432750,-5.827340,0.831,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
021823-015903,34.599400,-1.984200,-99.000,-99.000,0.28,-99.00,-99.,18.34,-99.00,GG,V,B,SuGOHI5
021823-053921,34.598300,-5.655900,0.691,-99.000,0.67,0.99,-99.,20.05,22.70,GG,VCN,B,"SuGOHI5 Gavazzi et al. 2014 SuGOHI10"
021829-034040,34.621604,-3.678000,-99.000,-99.000,0.89,-99.00,-99.,20.28,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
021950-055706,34.959690,-5.951840,0.651,-99.000,0.65,-99.00,-99.,-99.,-99.00,GG,CNN,B,"SuGOHI10 Gavazzi et al. 2014"
022023-025029,35.095860,-2.841410,0.958,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
022056-063934,35.235798,-6.659525,0.330,-99.000,-99.00,-99.00,1.19,17.86,-99.00,GG,KCN,B,"SL2S Gavazzi et al. 2014 SuGOHI10"
022140-021020,35.417204,-2.172249,0.708,-99.000,-99.00,-99.00,-99.,19.40,22.01,GG,YCN,B,"SuGOHI1 DES SuGOHI10"
022209-024042,35.541610,-2.678430,0.923,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
022422-014946,36.093066,-1.829576,-99.000,-99.000,0.61,-99.00,-99.,19.21,-99.00,GG,VY,B,SuGOHI6
022733-043724,36.889000,-4.623370,0.921,-99.000,1.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
022841-061728,37.172100,-6.291300,-99.000,-99.000,0.73,-99.00,-99.,20.28,-99.00,GG,V,B,"SuGOHI5 Gavazzi et al. 2014 SuGOHI6"
022915-060902,37.315314,-6.150668,-99.000,-99.000,0.64,-99.00,-99.,20.10,-99.00,GG,VYCN,B,"SuGOHI6 Gavazzi et al. 2014 SuGOHI10"
023038-015248,37.658881,-1.880259,-99.000,-99.000,0.40,-99.00,-99.,18.82,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
023133-042501,37.889964,-4.417107,-99.000,-99.000,0.92,-99.00,-99.,21.68,-99.00,GG,V,B,SuGOHI6
023145-061313,37.940730,-6.220550,0.284,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,"SuGOHI10 Gavazzi et al. 2014"
023238-025532,38.161280,-2.925790,0.903,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
023325-053104,38.354750,-5.517924,0.437,-99.000,-99.00,-99.00,-99.,18.94,21.03,GG,YCN,B,"SuGOHI1 Gavazzi et al. 2014 SuGOHI10"
023444-064832,38.684320,-6.809070,0.613,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,"SuGOHI10 Gavazzi et al. 2014"
023614-031047,39.062230,-3.179870,0.742,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
023629-060449,39.121627,-6.080400,-99.000,-99.000,0.91,-99.00,-99.,20.01,-99.00,GG,V,B,SuGOHI6
