#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
150021-004936,225.087602,-0.826888,-99.000,-99.000,0.41,-99.00,-99.,18.45,-99.00,GG,V,A,SuGOHI6
150112+422113,225.300700,42.353700,-99.000,-99.000,0.27,-99.00,-99.,19.13,-99.00,GG,V,A,SuGOHI5
151336+433251,228.403210,43.547527,0.487,-99.000,-99.00,-99.00,-99.,18.50,22.50,GG,YCN,A,"SuGOHI2 SuGOHI10"
151833+430702,229.641400,43.117390,0.986,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,A,SuGOHI10
155517+415138,238.823932,41.860754,0.555,-99.000,-99.00,-99.00,-99.,18.58,20.98,GG,YCN,A,"SuGOHI1 SuGOHI10"
223212+031330,338.050684,3.225174,0.704,-99.000,-99.00,-99.00,-99.,21.76,-99.00,GG,Y,A,SuGOHI8
223733+005015,339.389734,0.837717,0.604,2.143,-99.00,-99.00,1.29,19.07,22.90,GG,YCN,A,"SuGOHI1 SuGOHI3 SuGOHI10"
224842+052217,342.177370,5.371590,0.904,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,A,SuGOHI10
224932+031114,342.386470,3.187360,0.315,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,A,SuGOHI10
230335+003703,345.896540,0.617549,0.458,0.936,-99.00,-99.00,1.02,18.77,22.74,GG,YKCN,A,"SuGOHI2 BELLS SuGOHI3 SuGOHI10"
230521-000211,346.340270,-0.036575,0.492,-99.000,-99.00,-99.00,-99.,18.81,21.21,GG,YCN,A,"SuGOHI2 DES SuGOHI10"
233130+003733,352.877000,0.625918,0.552,-99.000,-99.00,-99.00,-99.,19.38,21.38,GG,YSCN,A,"SuGOHI2 DES SuGOHI10"
233146+013845,352.943370,1.645991,0.476,-99.000,-99.00,-99.00,-99.,18.94,21.75,GG,Y,A,SuGOHI2
234114+031506,355.311593,3.251827,0.727,-99.000,-99.00,-99.00,-99.,21.91,-99.00,GG,Y,A,SuGOHI8
234117-002937,355.323048,-0.493887,0.531,-99.000,-99.00,-99.00,-99.,20.34,-99.00,GG,YCN,A,"SuGOHI8 SuGOHI10"
