#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
021914-020211,34.811595,-2.036554,0.466,-99.000,-99.00,-99.00,-99.,19.34,22.85,GG,Y,C,SuGOHI1
021917-063158,34.823704,-6.532999,0.631,-99.000,-99.00,-99.00,-99.,19.84,23.04,GG,YV,C,"SuGOHI1 SuGOHI5"
021929-021741,34.874202,-2.294877,0.549,-99.000,-99.00,-99.00,-99.,19.45,22.14,GG,Y,C,SuGOHI1
021934-021806,34.892055,-2.301772,-99.000,-99.000,0.59,-99.00,-99.,20.02,-99.00,GG,VY,C,SuGOHI6
021951-032216,34.966255,-3.371295,-99.000,-99.000,0.58,-99.00,-99.,19.25,-99.00,GG,V,C,SuGOHI6
022008-034852,35.035636,-3.814587,-99.000,-99.000,0.30,-99.00,-99.,17.69,-99.00,GG,VY,C,SuGOHI6
022012-025843,35.050212,-2.978831,-99.000,-99.000,0.80,-99.00,-99.,20.70,-99.00,GG,V,C,SuGOHI6
022019-021107,35.082128,-2.185517,-99.000,-99.000,1.17,-99.00,-99.,22.03,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
022025-060128,35.104706,-6.024663,-99.000,-99.000,0.95,-99.00,-99.,21.39,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
022027-004453,35.113934,-0.748069,0.774,-99.000,-99.00,-99.00,-99.,21.23,-99.00,GG,Y,C,SuGOHI8
022043-025222,35.182687,-2.872794,-99.000,-99.000,0.46,-99.00,-99.,19.47,-99.00,GG,V,C,SuGOHI6
022043-032640,35.181198,-3.444632,-99.000,-99.000,0.84,-99.00,-99.,21.11,-99.00,GG,VYCN,C,"SuGOHI6 SuGOHI10"
022046-043720,35.194447,-4.622251,0.635,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
022104-021936,35.270110,-2.326804,-99.000,-99.000,0.45,-99.00,-99.,19.28,-99.00,GG,V,C,SuGOHI6
022107-035327,35.280670,-3.890950,-99.000,-99.000,0.43,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
022123-021810,35.347868,-2.302779,-99.000,-99.000,0.79,-99.00,-99.,21.08,-99.00,GG,V,C,SuGOHI6
