mu  pmu  pmuanyl
0.010000 2.200603e+00 1.941180e+00
0.010393 2.555580e+00 1.938919e+00
0.010801 3.021116e+00 1.936572e+00
0.011225 2.230953e+00 1.934137e+00
0.011665 2.602041e+00 1.931611e+00
0.012123 1.815222e+00 1.928990e+00
0.012599 2.047803e+00 1.926272e+00
0.013094 2.318179e+00 1.923452e+00
0.013608 2.342145e+00 1.920527e+00
0.014142 2.629288e+00 1.917494e+00
0.014697 2.478340e+00 1.914349e+00
0.015274 1.937590e+00 1.911087e+00
0.015873 2.581479e+00 1.907705e+00
0.016496 2.115974e+00 1.904199e+00
0.017144 2.434405e+00 1.900564e+00
0.017817 2.214680e+00 1.896797e+00
0.018516 2.663782e+00 1.892892e+00
0.019243 1.932231e+00 1.888845e+00
0.019999 2.314570e+00 1.884651e+00
0.020784 2.336673e+00 1.880306e+00
0.021600 2.037622e+00 1.875805e+00
0.022448 2.433917e+00 1.871142e+00
0.023329 2.472091e+00 1.866313e+00
0.024245 1.940529e+00 1.861311e+00
0.025196 2.379212e+00 1.856132e+00
0.026185 2.289342e+00 1.850770e+00
0.027213 2.398058e+00 1.845219e+00
0.028282 2.012334e+00 1.839474e+00
0.029392 2.091228e+00 1.833529e+00
0.030546 2.285503e+00 1.827377e+00
0.031745 2.151365e+00 1.821013e+00
0.032991 2.231109e+00 1.814431e+00
0.034286 2.014040e+00 1.807624e+00
0.035632 2.385187e+00 1.800585e+00
0.037031 2.049189e+00 1.793309e+00
0.038484 2.011221e+00 1.785789e+00
0.039995 2.371631e+00 1.778018e+00
0.041565 1.862151e+00 1.769990e+00
0.043197 2.266115e+00 1.761697e+00
0.044893 2.180518e+00 1.753134e+00
0.046655 1.805388e+00 1.744294e+00
0.048486 2.112802e+00 1.735169e+00
0.050390 2.078173e+00 1.725753e+00
0.052368 2.028655e+00 1.716040e+00
0.054423 2.007799e+00 1.706023e+00
0.056560 1.945375e+00 1.695695e+00
0.058780 2.052628e+00 1.685049e+00
0.061088 1.850874e+00 1.674080e+00
0.063486 1.972205e+00 1.662781e+00
0.065978 1.897710e+00 1.651146e+00
0.068568 1.969896e+00 1.639169e+00
0.071260 1.852893e+00 1.626844e+00
0.074057 1.854629e+00 1.614166e+00
0.076964 1.883170e+00 1.601129e+00
0.079985 1.812037e+00 1.587729e+00
0.083125 1.853136e+00 1.573961e+00
0.086388 1.774354e+00 1.559821e+00
0.089780 1.707332e+00 1.545305e+00
0.093304 1.716037e+00 1.530408e+00
0.096967 1.870336e+00 1.515130e+00
0.100773 1.558726e+00 1.499466e+00
0.104729 1.615778e+00 1.483415e+00
0.108840 1.749960e+00 1.466976e+00
0.113113 1.516144e+00 1.450149e+00
0.117553 1.755814e+00 1.432932e+00
0.122168 1.472094e+00 1.415327e+00
0.126964 1.649582e+00 1.397335e+00
0.131948 1.391739e+00 1.378958e+00
0.137127 1.560519e+00 1.360200e+00
