Cand;objID;RAJ2000.;DEJ2000.;Grade;z;imag;Notes;r_z;SimbadName
DESJ0220-4530 ;113247709;035.17619;-45.50086; 2.3; 0.86; 20.1;   ;        ;DES J022042.28-453003.0
DESJ0220-5335 ;109454820;035.05973;-53.58636; 2.3; 0.79; 20.1;   ;        ;DES J022014.33-533510.8
DESJ0221-0210 ;112068778;035.41721;-02.17230; 2.3; 0.57; 19.6;a  ;      19;SDSS J022140.16-021020.8
DESJ0225-0737 ;118955435;036.44218;-07.62732; 2.3; 0.58; 18.6;a,d;       7;[MCM2012] SA50 lens
DESJ0225-1505 ;116423633;036.44888;-15.09220; 2.3; 0.67; 19.3;   ;        ;DES J022547.73-150531.9
DESJ0226+0206 ;117170717;036.62452;+02.11304; 2.0; 0.60; 20.2;d  ;        ;DES J022629.88+020646.9
DESJ0227-4718 ;118887468;036.78734;-47.31550; 3.0; 0.68; 18.6;   ;        ;DES J022708.96-471855.8
DESJ0228-5547 ;131561232;037.18616;-55.79889; 2.0; 0.47; 18.0;d  ;        ;DES J022844.67-554756.0
DESJ0229-0338 ;121270216;037.37707;-03.64339; 2.0; 0.64; 19.4;a  ;      19;DES J022930.49-033836.2
DESJ0229-2908 ;128509254;037.37911;-29.13786; 3.0; 0.87; 20.0;   ;        ;DES J022930.98-290816.2
DESJ0230-3122 ;133666062;037.56991;-31.36689; 2.3; 0.48; 19.2;   ;        ;DES J023016.77-312200.8
DESJ0232+0013 ;129621911;038.04683;+00.22756; 2.3; 0.81; 20.0;d  ;        ;DES J023211.23+001339.2
DESJ0232-0323 ;130346208;038.20774;-03.39054; 3.0; 0.47; 18.0;a,c;     1,4;[DBL2017] DES J0232-0323 (A)
DESJ0233-0438 ;306380750;038.27943;-04.64393; 2.0; 0.58; 19.6;a  ;    8,22;DES J023307.06-043838.1
DESJ0234-6222 ;308603002;038.64655;-62.38180; 2.3; 0.64; 19.5;   ;        ;DES J023435.17-622254.4
DESJ0235-4510 ;311169228;038.77465;-45.18173; 2.0; 0.69; 19.9;   ;        ;DES J023505.91-451054.2
DESJ0235-4818 ;308226924;038.86317;-48.30583; 2.0; 0.47; 19.6;   ;        ;DES J023527.16-481820.9
DESJ0236+0321 ;311007100;039.20024;+03.35832; 2.0; 0.41; 19.2;   ;        ;DES J023648.05+032129.9
DESJ0236-5121 ;358035059;039.00938;-51.36216; 2.3; 0.84; 19.4;a,d;       1;[DBL2017] DES J0236-5121 (A)
DESJ0237-0913 ;310489076;039.36384;-09.21903; 2.7; 0.82; 20.2;   ;        ;DES J023727.32-091308.5
DESJ0237-1801 ;311649867;039.43907;-18.01724; 2.7; 0.71; 20.0;   ;        ;DES J023745.37-180102.0
DESJ0239-0134 ;313249545;039.97131;-01.58221; 3.0; 0.44; 17.4;a,c;       9;BOW ACO 370 CC009
DESJ0239-2047 ;314286307;039.77696;-20.78834; 2.7; 0.64; 19.0;   ;        ;DES J023906.47-204718.0
DESJ0239-3211 ;312045408;039.87360;-32.19155; 3.0; 0.43; 18.8;   ;        ;DES J023929.66-321129.5
DESJ0239-4620 ;315501070;039.93357;-46.34466; 2.7; 0.40; 17.2;   ;        ;DES J023944.05-462040.7
DESJ0241-4115 ;316978966;040.27731;-41.25195; 3.0; 0.77; 20.4;   ;        ;DES J024106.55-411507.0
DESJ0241-5949 ;315606461;040.37339;-59.82580; 2.0; 0.58; 19.9;   ;        ;DES J024129.61-594932.8
DESJ0242-0207 ;317586407;040.56738;-02.13037; 2.7; 0.57; 19.8;   ;        ;DES J024216.17-020749.3
DESJ0242-2943 ;315970445;040.62048;-29.71815; 2.7; 0.47; 18.6;   ;        ;DES J024228.91-294305.3
DESJ0242-4811 ;318896675;040.68463;-48.19355; 2.3; 0.48; 19.1;   ;        ;DES J024244.31-481136.7
DESJ0243-0006 ;316036876;040.76267;-00.10005; 2.7; 0.45; 17.7;c  ;        ;DES J024303.04-000600.1
DESJ0243-2142 ;316505122;040.86666;-21.70053; 2.3; 0.59; 19.4;   ;        ;DES J024327.99-214201.9
DESJ0244-0008 ;322334792;041.17054;-00.14366; 2.3; 0.52; 19.4;   ;        ;DES J024440.92-000837.1
DESJ0244-3019 ;318630744;041.20595;-30.32132; 2.7; 0.67; 19.5;   ;        ;DES J024449.42-301916.7
DESJ0245-5129 ;322546320;041.46421;-51.49750; 2.7; 0.68; 18.8;a,d;       1;[DBL2017] DES J0245-5129 (A)
DESJ0245-5301 ;320239802;041.35337;-53.02927; 2.7; 0.39; 17.2;   ;        ;[RBB2014] J024524.82-530145.3
DESJ0247-3750 ;320382487;041.80879;-37.83504; 2.3; 0.39; 17.9;d  ;        ;DES J024714.10-375006.1
DESJ0247-4432 ;320576771;041.75052;-44.53640; 2.0; 0.74; 18.7;   ;        ;DES J024700.12-443211.0
DESJ0247-5917 ;323527567;041.77716;-59.29213; 2.7; 0.41; 17.5;a,d;       1;DES J024706.51-591731.6
DESJ0248-0331 ;323148175;042.01411;-03.52913; 3.0; 0.38; 15.6;b  ;        ;DES J024803.38-033144.8
DESJ0248-3955 ;320189990;042.03972;-39.93008; 3.0; 0.66; 19.1;c  ;        ;DES J024809.53-395548.2
DESJ0248-6054 ;322703225;042.24005;-60.90097; 2.7; 0.56; 19.2;   ;        ;DES J024857.61-605403.4
DESJ0249-5056 ;324524229;042.49448;-50.94399; 2.3; 0.60; 19.9;   ;        ;DES J024958.67-505638.3
DESJ0250-1610 ;324211306;042.71571;-16.16883; 2.3; 0.40; 17.7;   ;        ;DES J025051.77-161007.7
DESJ0250-1811 ;323759326;042.61404;-18.19468; 2.0; 0.67; 19.9;   ;        ;DES J025027.36-181140.8
DESJ0250-2545 ;325876415;042.58849;-25.75382; 2.3; 0.65; 19.6;   ;        ;DES J025021.23-254513.7
DESJ0250-5524 ;331348861;042.71781;-55.40325; 3.0; 0.75; 19.6;   ;        ;DES J025052.27-552411.7
DESJ0251-0613 ;324179816;042.93427;-06.22482; 2.7; 0.42; 17.4;   ;        ;DES J025144.22-061329.3
DESJ0251-1220 ;325171876;042.89705;-12.33367; 3.0; 0.46; 18.1;d  ;        ;DES J025135.29-122001.2
DESJ0252-2145 ;325350854;043.18031;-21.75937; 2.3; 0.45; 18.7;   ;        ;DES J025243.27-214533.7
DESJ0252-4732 ;325184579;043.08284;-47.54382; 2.3; 0.49; 18.4;a,d;       1;[DBL2017] DES J0252-4732 (A)
DESJ0253-1239 ;332638388;043.37844;-12.65088; 2.7; 0.68; 19.8;   ;        ;DES J025330.82-123903.1
DESJ0253-2050 ;326901259;043.41658;-20.83750; 2.0; 0.58; 18.8;   ;        ;DES J025339.97-205015.0
DESJ0253-3547 ;328771437;043.39711;-35.79207; 2.7; 0.66; 19.8;   ;        ;DES J025335.30-354731.4
DESJ0256-1215 ;350492611;044.01502;-12.25496; 2.7; 0.49; 18.1;   ;        ;DES J025603.60-121517.8
DESJ0256-2707 ;333129437;044.09736;-27.12183; 3.0; 0.76; 20.1;   ;        ;DES J025623.36-270718.5
DESJ0259-0804 ;332519880;044.95084;-08.07945; 2.3; 0.57; 19.0;   ;        ;DES J025948.20-080446.0
DESJ0259-1521 ;335268116;044.80894;-15.36354; 2.7; 0.44; 18.0;   ;        ;DES J025914.14-152148.7
DESJ0259-5206 ;337550755;044.85811;-52.11193; 2.3; 0.57; 17.8;d  ;        ;DES J025925.94-520642.9
DESJ0300-5001 ;335766992;045.09019;-50.02469; 3.0; 0.53; 18.4;a  ;       1;[DBL2017] DES J0300-5001 (A)
DESJ0300-5144 ;337527643;045.13631;-51.74562; 3.0; 0.61; 18.4;a  ;       1;[DBL2017] DES J0300-5144 (A)
DESJ0301-4426 ;337812631;045.46380;-44.44055; 2.3; 0.76; 20.2;   ;        ;DES J030151.31-442625.9
DESJ0302-2137 ;336668432;045.59119;-21.63207; 2.7; 0.48; 18.7;   ;        ;DES J030221.88-213755.4
DESJ0303-4626 ;341691067;045.95070;-46.44066; 2.7; 1.37; 20.7;a  ;       1;DES J030348.16-462626.3
DESJ0303-5023 ;338494005;045.96811;-50.39776; 2.0; 0.64; 19.7;   ;        ;DES J030352.34-502351.9
DESJ0304-4921 ;341631765;046.06729;-49.35725; 3.0; 0.34; 17.5;b  ;     1,2;DES J030416.14-492126.1
DESJ0304-5846 ;341516834;046.15722;-58.77995; 2.3; 0.73; 19.9;   ;        ;DES J030437.73-584647.8
DESJ0305-1024 ;341195944;046.27306;-10.40325; 2.0; 0.75; 20.1;d  ;        ;DES J030505.53-102411.7
DESJ0305-1636 ;337847674;046.31967;-16.60365; 2.3; 0.60; 18.9;d  ;        ;DES J030516.72-163613.1
DESJ0306-2304 ;342445367;046.69704;-23.07635; 2.3; 0.52; 19.0;   ;        ;DES J030647.28-230434.8
DESJ0307-1811 ;342297166;046.93881;-18.18558; 2.0; 0.26; 20.9;   ;        ;DES J030745.31-181108.0
DESJ0307-5042 ;344560939;046.96054;-50.70122; 2.3; 0.59; 18.4;b  ;     1,2;[DBL2017] DES J0307-5042 (A)
DESJ0307-6241 ;341257301;046.87411;-62.68482; 2.0; 0.48; 18.1;   ;        ;DES J030729.78-624105.3
DESJ0308-2106 ;343364859;047.20000;-21.10386; 3.0; 0.76; 20.2;d  ;        ;DES J030848.00-210613.8
DESJ0309-1332 ;342860023;047.33215;-13.53674; 2.0; 0.59; 19.8;d  ;        ;DES J030919.71-133212.2
DESJ0309-1437 ;343011680;047.43782;-14.62114; 2.7; 0.79; 20.2;a  ;      11;DES J030945.07-143716.1
DESJ0309-3805 ;343290165;047.33576;-38.09604; 2.7; 0.62; 18.9;   ;        ;DES J030920.58-380545.7
DESJ0309-6239 ;328377991;047.32498;-62.66179; 2.3; 0.44; 18.7;   ;        ;DES J030917.99-623942.4
DESJ0310-0903 ;342955143;047.52242;-09.05404; 2.0; 0.61; 19.4;   ;        ;DES J031005.38-090314.5
DESJ0310-4647 ;345606854;047.63526;-46.78398; 2.7; 0.71; 19.1;b  ;     1,2;[DBL2017] DES J0310-4647 (A)
DESJ0311-2601 ;329906936;047.77324;-26.01778; 2.7; 0.94; 20.5;   ;        ;DES J031105.57-260104.0
DESJ0311-4232 ;340768337;047.86322;-42.53863; 2.7; 0.37; 17.5;   ;        ;DES J031127.17-423219.0
DESJ0313-2006 ;327373298;048.29103;-20.10875; 2.3; 0.80; 19.8;   ;        ;DES J031309.84-200631.5
DESJ0313-3610 ;382872932;048.40598;-36.17775; 3.0; 0.40; 20.5;d  ;        ;DES J031337.43-361039.9
DESJ0314-2127 ;382406538;048.64811;-21.46665; 2.3; 0.45; 17.8;d  ;        ;DES J031435.54-212759.9
DESJ0314-2841 ;339342483;048.57753;-28.69899; 2.3; 0.54; 19.1;   ;        ;DES J031418.60-284156.3
DESJ0315-6220 ;348227502;048.93026;-62.34321; 2.0; 0.51; 19.1;   ;        ;DES J031543.26-622035.5
DESJ0316-2236 ;346057868;049.16179;-22.60925; 3.0; 0.79; 19.6;   ;        ;DES J031638.82-223633.3
DESJ0317-2118 ;347820479;049.42391;-21.30499; 2.7; 0.48; 18.1;d  ;        ;DES J031741.73-211817.9
DESJ0317-2625 ;349590200;049.29261;-26.42107; 2.0; 0.76; 20.3;   ;        ;DES J031710.22-262515.8
DESJ0318-1942 ;348794656;049.62499;-19.70766; 2.0; 0.64; 19.4;   ;        ;DES J031829.99-194227.5
DESJ0319-1734 ;351516752;049.92199;-17.56790; 3.0; 0.68; 20.1;   ;        ;DES J031941.27-173404.4
DESJ0319-4759 ;354488458;049.99213;-47.98763; 2.0; 0.48; 19.3;   ;        ;DES J031958.11-475915.4
DESJ0319-5318 ;348242739;049.75905;-53.30547; 2.0; 0.43; 17.7;a  ;       1;[DBL2017] DES J0319-5318 (A)
DESJ0319-5751 ;354864135;049.90701;-57.85219; 2.7; 0.54; 19.2;   ;        ;DES J031937.68-575107.8
DESJ0320-1624 ;352008867;050.15414;-16.40618; 3.0; 0.59; 19.6;   ;        ;DES J032036.99-162422.2
DESJ0320-3119 ;355312277;050.06689;-31.32149; 2.0; 0.75; 19.5;   ;        ;DES J032016.05-311917.3
DESJ0320-4159 ;349979646;050.11682;-41.98881; 2.7; 0.66; 19.1;   ;        ;DES J032028.03-415919.7
DESJ0321-1530 ;353748149;050.35660;-15.50098; 2.7; 0.62; 19.5;   ;        ;DES J032125.58-153003.5
DESJ0322-2339 ;355712108;050.67685;-23.66524; 2.3; 0.54; 19.4;   ;        ;DES J032242.44-233954.8
DESJ0322-3946 ;358893159;050.71632;-39.76936; 2.7; 0.85; 20.3;   ;        ;DES J032251.91-394609.6
DESJ0322-4224 ;358251063;050.59429;-42.40605; 2.3; 0.57; 19.3;   ;        ;DES J032222.62-422421.7
DESJ0322-5234 ;359440586;050.56837;-52.57790; 3.0; 0.46; 18.0;a  ;       1;[DBL2017] DES J0322-5234 (A)
DESJ0324-3556 ;359347789;051.02925;-35.93638; 2.0; 0.38; 17.6;   ;        ;DES J032407.02-355610.9
DESJ0326-4812 ;362343856;051.51215;-48.20995; 2.0; 0.43; 17.7;d  ;        ;DES J032602.91-481235.8
DESJ0326-5645 ;361461421;051.62299;-56.76170; 2.7; 0.68; 20.2;a  ;       1;[DBL2017] DES J0326-5645 (A)
DESJ0327-1326 ;360253469;051.86318;-13.43961; 3.0; 0.56; 19.0;b  ;        ;DES J032727.16-132622.5
DESJ0327-3246 ;361760653;051.79729;-32.77616; 2.7; 0.65; 19.0;   ;        ;DES J032711.34-324634.1
DESJ0328-2140 ;362669813;052.05660;-21.67208; 2.3; 0.59; 18.2;b  ;        ;DES J032813.58-214019.4
DESJ0328-3833 ;361724422;052.24989;-38.55273; 2.3; 0.41; 18.3;   ;        ;DES J032859.97-383309.8
DESJ0328-4029 ;363968737;052.00516;-40.49922; 2.0; 0.51; 19.2;   ;        ;DES J032801.23-402957.1
DESJ0329-5656 ;361472987;052.26624;-56.94944; 2.7; 0.40; 17.3;   ;        ;DES J032903.89-565657.9
DESJ0330-2127 ;362656939;052.62838;-21.45315; 2.0; 0.72; 20.0;d  ;        ;DES J033030.81-212711.3
DESJ0330-5228 ;368913139;052.73718;-52.47028; 2.5; 0.46; 17.7;b  ;     1,2;DES J033056.92-522813.0
DESJ0332-1325 ;365125003;053.01064;-13.41950; 2.3; 0.64; 20.2;d  ;        ;DES J033202.55-132510.2
DESJ0333-1440 ;366164591;053.48320;-14.66914; 2.2; 0.53; 18.5;b  ;        ;DES J033355.96-144008.9
DESJ0333-1837 ;366216886;053.41061;-18.61902; 2.0; 0.26; 20.2;   ;        ;DES J033338.54-183708.4
DESJ0334-1838 ;366217976;053.74324;-18.64403; 2.7; 0.51; 19.1;   ;        ;DES J033458.37-183838.5
DESJ0334-2634 ;367701604;053.74703;-26.57546; 2.0; 0.44; 17.7;d  ;        ;DES J033459.28-263431.6
DESJ0334-4817 ;367248708;053.54557;-48.28704; 2.0; 0.50; 18.3;a  ;       1;[DBL2017] DES J0334-4817 (A)
DESJ0334-4940 ;368398173;053.58416;-49.67789; 2.0; 0.66; 19.1;   ;        ;DES J033420.19-494040.4
DESJ0334-6034 ;368841941;053.74437;-60.58056; 2.3; 0.58; 18.3;   ;        ;DES J033458.64-603450.0
DESJ0336-2021 ;367624957;054.17408;-20.35310; 2.0; 0.65; 19.6;b  ;        ;DES J033641.77-202111.1
DESJ0336-3812 ;368270048;054.11897;-38.20245; 2.0; 0.45; 18.6;   ;        ;DES J033628.55-381208.8
DESJ0337-3152 ;370414914;054.32183;-31.87043; 3.0; 0.47; 18.6;   ;        ;DES J033717.23-315213.5
DESJ0338-1619 ;371619216;054.69029;-16.32305; 2.7; 0.70; 19.7;   ;        ;DES J033845.66-161922.9
DESJ0339-5830 ;370944473;054.77706;-58.50469; 2.3; 0.36; 17.2;   ;        ;DES J033906.49-583016.8
DESJ0340-2533 ;374318639;055.08904;-25.55837; 2.7; 0.67; 19.5;d  ;        ;DES J034021.36-253330.1
DESJ0341-5130 ;374811766;055.37833;-51.51241; 2.7; 0.42; 19.0;a  ;       1;[DBL2017] DES J0341-5130 (A)
DESJ0342-5355 ;374878192;055.51920;-53.92059; 3.0; 0.63; 18.4;a,d;       1;[DBL2017] DES J0342-5355 (A)
DESJ0344-4447 ;378734502;056.14624;-44.79555; 3.0; 0.81; 20.1;   ;        ;DES J034435.09-444743.9
DESJ0345-2459 ;378104707;056.36640;-24.98848; 3.0; 0.47; 19.3;   ;        ;DES J034527.93-245918.5
DESJ0347-2454 ;378100572;056.93556;-24.90874; 3.0; 0.57; 19.2;   ;        ;DES J034744.53-245431.4
DESJ0347-3158 ;424959030;056.95311;-31.98063; 2.3; 0.38; 17.5;d  ;        ;DES J034748.74-315850.2
DESJ0347-3647 ;380333963;056.93924;-36.79364; 2.3; 0.61; 19.2;   ;        ;DES J034745.41-364737.1
DESJ0347-4535 ;379955716;056.80535;-45.58500; 3.0; 0.66; 19.0;a  ;       1;[DBL2017] DES J0347-4535 (A)
DESJ0348-1306 ;379862967;057.14437;-13.11303; 2.0; 0.59; 18.4;d  ;        ;DES J034834.64-130646.9
DESJ0348-2145 ;379404679;057.00965;-21.75082; 3.0; 0.43; 17.2;   ;        ;DES J034802.31-214502.9
DESJ0348-2655 ;379292496;057.02437;-26.92048; 2.0; 0.37; 17.6;   ;        ;DES J034805.84-265513.7
DESJ0349-1500 ;382692058;057.45008;-15.00234; 2.3; 0.37; 17.3;   ;        ;DES J034948.01-150008.4
DESJ0349-4857 ;380145919;057.33127;-48.95926; 3.0; 0.65; 18.8;a  ;       1;[DBL2017] DES J0349-4857 (A)
DESJ0350-4824 ;381150466;057.70236;-48.40619; 2.3; 0.78; 20.1;   ;        ;DES J035048.56-482422.2
DESJ0352-3825 ;385542120;058.17670;-38.42915; 3.0; 0.54; 18.4;   ;        ;DES J035242.40-382544.9
DESJ0353-1706 ;386508843;058.44268;-17.11090; 3.0; 0.60; 19.2;   ;        ;DES J035346.24-170639.2
DESJ0354-1609 ;386476783;058.57614;-16.16450; 2.7; 0.63; 18.7;   ;        ;DES J035418.27-160952.2
DESJ0354-2420 ;386408997;058.69798;-24.33749; 3.0; 0.66; 19.5;   ;        ;DES J035447.51-242014.9
DESJ0356-1457 ;386858139;059.21895;-14.96632; 2.3; 0.55; 19.4;   ;        ;DES J035652.54-145758.7
DESJ0356-2408 ;386397276;059.20438;-24.14476; 3.0; 0.48; 18.7;   ;        ;DES J035649.05-240841.1
DESJ0356-5607 ;392535235;059.02600;-56.12484; 2.0; 0.48; 17.6;d  ;        ;DES J035606.24-560729.4
DESJ0357-5810 ;482065451;059.40346;-58.18149; 2.7; 0.61; 18.5;a  ;       1;[DBL2017] DES J0357-5810 (A)
DESJ0357-5951 ;386543661;059.33565;-59.86512; 2.3; 0.58; 19.3;   ;        ;DES J035720.55-595154.4
DESJ0358-2950 ;387200923;059.53509;-29.84965; 2.0; 0.40; 18.3;   ;        ;DES J035808.42-295058.7
DESJ0402-2205 ;484107721;060.52380;-22.09897; 3.0; 0.49; 19.3;d  ;        ;DES J040205.71-220556.2
DESJ0402-5258 ;482528109;060.73983;-52.97845; 2.0; 0.87; 20.5;a  ;       1;DES J040257.55-525842.4
DESJ0403-1512 ;486502907;060.80335;-15.21602; 2.0; 0.65; 19.9;   ;        ;DES J040312.80-151257.6
DESJ0403-5432 ;488465172;060.84466;-54.54363; 3.0; 0.75; 19.7;   ;        ;DES J040322.71-543237.0
DESJ0406-2646 ;484389531;061.60206;-26.77362; 3.0; 1.54; 20.3;   ;        ;DES J040624.49-264625.0
DESJ0407-5713 ;389992748;061.81508;-57.21756; 2.7; 0.40; 17.8;d  ;        ;DES J040715.61-571303.2
DESJ0408-5354 ;488067795;062.09132;-53.90026; 2.7; 0.04; 19.5;a  ;    1,12;DES J040821.91-535400.9
DESJ0410-3037 ;406431056;062.55545;-30.62385; 2.0; 0.73; 19.8;   ;        ;DES J041013.30-303725.8
DESJ0411-2256 ;398879866;062.78340;-22.94312; 2.3; 0.57; 19.8;   ;        ;DES J041108.01-225635.2
DESJ0411-3144 ;397635797;062.95688;-31.74853; 2.7; 0.78; 20.3;   ;        ;DES J041149.65-314454.7
DESJ0411-4819 ;400940211;062.79569;-48.32768; 2.7; 0.46; 17.7;a,c;    1,13;[BRS2016] J041110.98-481939.3
DESJ0411-5107 ;403494207;062.92814;-51.12636; 2.3; 0.48; 17.8;   ;        ;DES J041142.74-510734.9
DESJ0412-1954 ;401080659;063.16191;-19.90303; 2.7; 0.64; 19.5;c  ;        ;DES J041238.85-195410.9
DESJ0412-2646 ;402142279;063.17877;-26.77565; 2.3; 0.43; 17.1;   ;        ;DES J041242.90-264632.3
DESJ0413-2344 ;400295190;063.42129;-23.73947; 2.0; 0.71; 19.4;   ;        ;DES J041341.10-234422.0
DESJ0415-4012 ;398187423;063.91078;-40.20893; 2.0; 0.55; 19.7;   ;        ;DES J041538.58-401232.1
DESJ0415-4143 ;402556287;063.93554;-41.72949; 2.3; 0.75; 19.2;d  ;        ;DES J041544.52-414346.1
DESJ0416-5525 ;496377974;064.18671;-55.41675; 2.7; 0.43; 17.6;a,d;       1;DES J041644.80-552500.3
DESJ0416-5908 ;401596916;064.16482;-59.14804; 2.3; 0.53; 19.1;   ;        ;DES J041639.55-590852.9
DESJ0418-5457 ;406587770;064.54117;-54.95973; 2.7; 0.53; 19.6;a  ;       1;[DBL2017] DES J0418-5457 (A)
DESJ0418-6125 ;496621301;064.60748;-61.42413; 2.3; 0.38; 17.5;   ;        ;DES J041825.79-612526.8
DESJ0419-2959 ;495663192;064.77709;-29.99383; 2.0; 0.91; 20.3;   ;        ;DES J041906.50-295937.7
DESJ0420-5422 ;498547848;065.17820;-54.37706; 2.0; 0.73; 19.8;   ;        ;DES J042042.76-542237.4
DESJ0422-2132 ;496451011;065.57590;-21.54608; 3.0; 0.64; 19.3;   ;        ;DES J042218.21-213245.8
DESJ0422-4031 ;498968361;065.60553;-40.53217; 3.0; 0.41; 17.9;d  ;        ;DES J042225.32-403155.8
DESJ0424-3317 ;498603518;066.16119;-33.29491; 3.0; 0.62; 18.2;c  ;        ;DES J042438.68-331741.6
DESJ0428-3218 ;499443386;067.06771;-32.30001; 2.3; 0.71; 19.4;   ;        ;DES J042816.25-321800.0
DESJ0429-2243 ;469427390;067.37815;-22.73322; 2.3; 0.66; 19.6;   ;        ;DES J042930.75-224359.5
DESJ0429-2826 ;505469261;067.28763;-28.43800; 2.0; 0.47; 18.5;   ;        ;DES J042909.03-282616.8
DESJ0429-6011 ;470193950;067.39444;-60.19064; 2.3; 1.06; 20.2;   ;        ;DES J042934.66-601126.3
DESJ0430-2051 ;469242961;067.59246;-20.85277; 2.0; 0.62; 19.5;   ;        ;DES J043022.19-205109.9
DESJ0431-4317 ;505813589;067.92345;-43.29463; 2.0; 0.55; 19.5;   ;        ;DES J043141.62-431740.6
DESJ0431-5422 ;469937250;067.84590;-54.37902; 2.3; 0.55; 19.3;   ;        ;DES J043123.01-542244.4
DESJ0433-2714 ;469726289;068.26475;-27.23982; 2.7; 0.53; 19.6;   ;        ;DES J043303.54-271423.3
DESJ0433-4456 ;470414267;068.45305;-44.93493; 2.0; 0.60; 19.6;   ;        ;DES J043348.73-445605.7
DESJ0437-5136 ;508636686;069.45059;-51.60777; 2.3; 0.59; 19.6;   ;        ;DES J043748.14-513627.9
DESJ0437-6428 ;490781756;069.31460;-64.47504; 2.3; 0.44; 17.8;   ;        ;DES J043715.50-642830.1
DESJ0437-6502 ;497809494;069.48652;-65.03786; 2.3; 0.63; 18.7;   ;        ;DES J043756.76-650216.2
DESJ0438-3228 ;490038071;069.52573;-32.48116; 2.0; 0.40; 17.3;   ;        ;DES J043806.17-322852.1
DESJ0441-4314 ;496058773;070.37184;-43.23723; 2.7; 0.51; 19.3;   ;        ;DES J044129.24-431414.0
DESJ0442-2920 ;495043677;070.62357;-29.34467; 2.3; 0.57; 19.3;   ;        ;DES J044229.65-292040.8
DESJ0442-6257 ;506943132;070.70370;-62.95143; 2.0; 0.45; 19.7;d  ;        ;DES J044248.88-625705.1
DESJ0443-2026 ;497282912;070.79929;-20.44658; 2.7; 0.66; 19.2;   ;        ;DES J044311.82-202647.6
DESJ0443-6228 ;506890546;070.93285;-62.46824; 2.3; 0.65; 19.9;   ;        ;DES J044343.88-622805.6
DESJ0446-2001 ;503213475;071.56238;-20.02854; 2.3; 0.43; 18.4;d  ;        ;DES J044614.97-200142.7
DESJ0446-2714 ;503055747;071.66670;-27.24653; 2.3; 0.63; 18.9;   ;        ;DES J044640.00-271447.5
DESJ0448-5807 ;503582193;072.02201;-58.12258; 3.0; 0.42; 18.3;a  ;       1;DES J044805.28-580721.3
DESJ0449-2918 ;479366135;072.28966;-29.30456; 2.0; 0.60; 18.6;   ;        ;DES J044909.51-291816.4
DESJ0450-5715 ;481189495;072.53670;-57.25556; 3.0; 0.42; 17.9;a  ;       1;[DBL2017] DES J0450-5715 (A)
DESJ0452-3540 ;486595893;073.12391;-35.67423; 2.0; 0.61; 19.1;   ;        ;DES J045229.73-354027.2
DESJ0453-5535 ;487409539;073.38443;-55.59106; 2.0; 0.36; 17.6;   ;        ;DES J045332.26-553527.8
DESJ0454-6234 ;408367693;073.68189;-62.56679; 2.7; 0.64; 20.0;   ;        ;DES J045443.65-623400.4
DESJ0455-2530 ;397694347;073.90302;-25.51280; 2.7; 0.44; 17.7;b  ;        ;DES J045536.72-253046.0
DESJ0456-2946 ;398369563;074.16540;-29.77272; 2.7; 0.46; 18.5;   ;        ;DES J045639.69-294621.7
DESJ0457-3549 ;394429819;074.39074;-35.83147; 2.0; 0.69; 19.5;d  ;        ;DES J045733.77-354953.2
DESJ0457-4115 ;394973892;074.42190;-41.25687; 2.0; 0.50; 18.8;d  ;        ;DES J045741.25-411524.7
DESJ0457-4331 ;399018963;074.46276;-43.52617; 2.7; 0.78; 19.7;   ;        ;DES J045751.06-433134.2
DESJ0458-4045 ;394868723;074.69941;-40.75106; 2.0; 0.49; 19.1;   ;        ;DES J045847.85-404503.8
DESJ0459-2045 ;395472372;074.75610;-20.75189; 2.7; 0.68; 19.4;   ;        ;DES J045901.46-204506.8
DESJ0501-5054 ;397556846;075.27780;-50.91315; 2.7; 0.53; 19.5;   ;        ;DES J050106.67-505447.3
DESJ0502-5828 ;409607810;075.66420;-58.47481; 2.7; 0.43; 18.6;   ;        ;DES J050239.40-582829.3
DESJ0503-3553 ;405612468;075.76990;-35.88520; 2.7; 0.68; 19.2;   ;        ;DES J050304.77-355306.7
DESJ0504-3548 ;405607557;076.07334;-35.80170; 2.0; 0.73; 19.6;   ;        ;DES J050417.60-354806.1
DESJ0505-4611 ;410418835;076.26967;-46.19931; 2.0; 0.63; 19.4;   ;        ;DES J050504.72-461157.5
DESJ0505-6149 ;412242213;076.44598;-61.83072; 2.3; 0.77; 20.0;   ;        ;DES J050547.03-614950.5
DESJ0506-2049 ;412357300;076.50219;-20.81680; 2.3; 0.61; 19.5;   ;        ;DES J050600.52-204900.4
DESJ0506-4220 ;412598534;076.73095;-42.34575; 2.7; 0.43; 18.0;d  ;        ;DES J050655.42-422044.7
DESJ0507-5348 ;412809087;076.94602;-53.81148; 2.0; 0.44; 18.2;d  ;        ;DES J050747.04-534841.3
DESJ0508-2144 ;413900270;077.20527;-21.74187; 2.7; 0.73; 18.9;d  ;        ;DES J050849.26-214430.7
DESJ0508-2746 ;414408351;077.17749;-27.77706; 2.7; 0.70; 20.1;   ;        ;DES J050842.59-274637.4
DESJ0509-5342 ;412802769;077.33914;-53.70351; 2.5; 0.45; 18.3;b  ;     1,2;SMH J050921.3-534212.2
DESJ0510-3232 ;415264664;077.55331;-32.53492; 2.7; 0.51; 18.5;   ;        ;DES J051012.79-323205.7
