"objname","old objnames","Photometry Proposal ID","Status","z_spec_Deflector","z_spec_Source","z_phot_Deflector","Nandini","Comments","Michelle","Comments","Makai","Comments","Final Classification"
AGEL101807-000812A,DESI-154.5307-00.1368,HUANG_15867_HST,Observed,0.372,2.59,,Single,,Single ,,,,DISCUSS
AGEL101847-012132A,DESI-154.6972-01.3590,HUANG_15867_HST,Observed,0.388,1.43,,Single,Big perturber closeby,Single,,,,Single
AGEL103255+751854A,DESI-158.2306+75.3149,HUANG_15867_HST,Observed,,,,No image,,Single,No image,,,DISCUSS
AGEL104056-010359A,DESI-160.2351-01.0663,HUANG_15867_HST,Observed,0.25,1.21,,Single,,Single,Huge galaxy deflector,,,Single
AGEL105100-055628A,DLS432021848,GLAZEBROOK_16773_HST,Observed,,1.94,,Single,,Group,Very interesting configuration,,,DISCUSS
AGEL110154-060232A,DESI-165.4754-06.0423,HUANG_15867_HST,Observed,0.487,1.68,,Single,clear einstein cross,Single,Nice quad example,,,Single
AGEL110245+121111A,DESI-165.6876+12.1864,HUANG_15867_HST,Observed,,1.907,1.02,Group,,Cluster,Lens within lens,,,DISCUSS
AGEL120535+411044A,DESI-181.3974+41.1790,HUANG_15867_HST,Observed,0.476,2.65,,Group,,Group,,,,Group
AGEL122537-072508A,DESI-186.4028-07.4188,HUANG_15867_HST,Observed,0.369,,,Single,,Single,,,,Single
AGEL122719+172557A,DESI-186.8292+17.4324,HUANG_15867_HST,Observed,,,0.37,Group,"WTH, it has two nested single lens configuration.It is complicated",Group,"might be worthy to model, but not prefered currently",,,Group
AGEL123736+553343A,DESI-189.4008+55.5619,HUANG_15867_HST,Observed,0.41,1.864,,Group/Cluster,Big Eintein radius,Group,Interesting arcs,,,DISCUSS
AGEL123809+150151A,DESI-189.5370+15.0309,HUANG_15867_HST,Observed,,1.16,,Cluster/Group,"Wow, I see shells",Cluster,Perfect for thesis,,,DISCUSS
AGEL125146+014256A,DESI-192.9428+01.7155,HUANG_15867_HST,Observed,0.673,,,Cluster/Group,Big Eintein radius,Cluster,Quite a lot of deflectors,,,DISCUSS
AGEL131330-064211A,DCLS1313-0642,GLAZEBROOK_16773_HST,Observed,,,,Group,,Single,,,,DISCUSS
AGEL132227-050135A,DCLS1322-0501,GLAZEBROOK_16773_HST,Observed,,,,Single,,Single,,,,Single
AGEL132304+034319A,DCLS1323+0343,GLAZEBROOK_16773_HST,Observed,0.352558,1.016,,Group,,Group,Rosetta Stone,,,Group
AGEL132557+263659A,DCLS1325+2636,GLAZEBROOK_16773_HST,Observed,0.4304085,,,Group?,Is the magnified blue object counter image?,Group,Interesting Shape,,,DISCUSS
AGEL133041+044015A,DESI-202.6690+04.6707,HUANG_15867_HST,Observed,0.336,1.168,,Single,Big nearby perturber,Single,,,,Single
AGEL133145+513431A,DESI-202.9388+51.5753,HUANG_15867_HST,Observed,0.289379,2.051,,Group,,Group,2 deflectors,,,Group
AGEL140839+253104A,DCLS1408+2531,GLAZEBROOK_16773_HST,Observed,0.6632969,1.2865,,Single,,Single,,,,Single
AGEL142104+002219A,DESI-215.2654+00.3719,HUANG_15867_HST,Observed,,2.195,0.72,Single,,Single,,,,Single
AGEL142719-064515A,DCLS1427-0645,GLAZEBROOK_16773_HST,Observed,,1.512,,Single,,Group,There seems to be additional sources multiplied imaged besides the arc,,,DISCUSS
AGEL142749+081045A,DESI-216.9538+08.1792,HUANG_15867_HST,Observed,0.5337887,,,Group,,Group/Cluster,Arc seems too close to the deflectors for it to be a cluster,,,DISCUSS
AGEL142822+031800A,DESI-217.0936+03.3000,HUANG_15867_HST,Observed,0.5884678,,,No image,,Single,No image,,,DISCUSS
AGEL144133-005401A,DESI-220.3861-00.8995,HUANG_15867_HST,Observed,,1.667,,Cluster,,Cluster,Arcs seem to be at larger einstein radius,,,Cluster
AGEL144149+144121A,DESI-220.4549+14.6891,HUANG_15867_HST,Observed,0.741,1.433,,Single/Group,"Single lens nested in a group. There is tiny perturber, near big galaxy, but main lens config seems single lens case",Group,Might be 2 deflectors,,,DISCUSS
AGEL144149+144121B,DESI-220.4549+14.6891,HUANG_15867_HST,Observed,0.741,2.2,,Group,,Same as above,Same as above,,,DISCUSS
AGEL144431+241843A,DCLS1444+2418,GLAZEBROOK_16773_HST,Observed,0.6719189,,,Group,,Group,2 deflectors,,,Group
AGEL144640-000350A,DCLS1446-0003,GLAZEBROOK_16773_HST,Observed,,,,Single,crazy lens,Single (?),Interesting arc shape,,,DISCUSS
AGEL144743-065709A,DCLS1447-0657,GLAZEBROOK_16773_HST,Observed,,,,Group?,is the tiny object adjoint with deflector a perturber or counter image?,Group,Perfect for project,,,DISCUSS
AGEL144802-081249A,DCLS1448-0812,GLAZEBROOK_16773_HST,Observed,,,,Single,lensed galaxy looks more like a nebula,Single,,,,Single
AGEL150137+520830A,DESI-225.4050+52.1417,HUANG_15867_HST,Observed,0.553,2.418,,Single,,Single ,,,,DISCUSS
AGEL150511+172042A,DESI-226.2950+17.3451,HUANG_15867_HST,Observed,0.484,,,Cluster,,Cluster,Perfect for thesis,,,Cluster
AGEL150745+052256A,DCLS1507+0522,GLAZEBROOK_16773_HST,Observed,0.5945449,2.164,,Single/Group,"I have modelled it as single lens, by masking out the tiny pertuber. Also, pertubers redshift is not known",Group,need confirmation of redshift,,,DISCUSS
AGEL150745+052256B,DCLS1507+0522,GLAZEBROOK_16773_HST,Observed,0.5945449,2.6,,Single/Group,,Same as above ,Same as above,,,DISCUSS
AGEL150925+390140A,DESI-227.3528+39.0279,HUANG_15867_HST,Observed,0.598,,,Group,,Group,2 deflectors,,,Group
AGEL151009+203725A,DESI-227.5364+20.6236,HUANG_15867_HST,Observed,0.585,,,Group,"Big Einstein radii, could be a cluster",Group,2 deflectors,,,Group
AGEL152509+422753A,DESI-231.2858+42.4643,HUANG_15867_HST,Observed,0.297,2.26,,Group,,Group,A little hard to tell which are deflectors,,,Group
AGEL153755+144324A,DESI-234.4783+14.7232,HUANG_15867_HST,Observed,0.26,2.478,,Single,,Single,,,,Single
AGEL153929+165016A,DESI-234.8707+16.8379,HUANG_15867_HST,Observed,0.398,,,Single,,Single,,,,Single
AGEL155417+044339A,DESI-238.5690+04.7276,HUANG_15867_HST,Observed,,1.72,,Single,,Single,,,,Single
AGEL162300+213721A,DESI-245.7514+21.6226,HUANG_15867_HST,Observed,,1.727,,Group,,Group,3 deflectors,,,Group
AGEL162401+012901A,DESI-246.0062+01.4836,HUANG_15867_HST,Observed,,2.368,,Single,"Perturbers are affecting arcs, so this could be called a group lens perhaps",Single,,,,Single
AGEL165140+280517A,DESI-252.9173+28.0881,HUANG_15867_HST,Observed,,2.379,0.72,Group,,Group,3 deflectors?,,,Group
AGEL165742+344858A,DESI-254.4235+34.8162,HUANG_15867_HST,Observed,0.578,2.465,,Group/Cluster,,Group/Cluster,Require larger cutout to identify more arcs,,,Group/Cluster
AGEL170944+315417A,DESI-257.4348+31.9046,HUANG_15867_HST,Observed,0.367,2.12,,Single,,Single,,,,Single
AGEL171922+244117A,DESI-259.8396+24.6880,HUANG_15867_HST,Observed,0.528725,2.277,,Group,,Group,2 deflectors,,,Group
AGEL172703+110008A,DCLS1727+1100,GLAZEBROOK_16773_HST,Observed,,1.336,,Cluster/Group,The open end of the arc because of nested lensing of perturber?,Cluster,"Wow, this is great",,,DISCUSS
AGEL183520+460627A,DESI-278.8338+46.1076,HUANG_15867_HST,Observed,,3.39,0.42,Single/Group,"Big Einstein ring, there are few fain looking objects between arc and lens",Single,,,,DISCUSS
AGEL193558+580909A,DESI-293.9927+58.1525,HUANG_15867_HST,Observed,0.32,3.55,,Group/Cluster,,Group ,3 deflectors,,,DISCUSS
AGEL201419-575701A,DESJ2014-5757,GLAZEBROOK_16773_HST,Observed,,2.191,0.8,Single,,Single,,,,Single
AGEL203911-545945A,DESJ2039-5459,GLAZEBROOK_16773_HST,Observed,,,,Group,,Group (?),May have multiple sources,,,DISCUSS
AGEL204312-060954A,DESI-310.8019-06.1649,HUANG_15867_HST,Observed,0.508,1.89,,Cluster,,Single (?),Only the 3 sources around the central deflector seems to be from lensing,,,DISCUSS
AGEL204555+003148A,DCLS2045+0031,GLAZEBROOK_16773_HST,Observed,,,,Single,,Single,,,,Single
AGEL205616-423857A,DESJ2056-4238,GLAZEBROOK_16773_HST,Observed,,,0.71,Single,,Single,,,,Single
AGEL211005-563931A,DESJ2110-5639,GLAZEBROOK_16773_HST,Observed,,1.182,0.59,Single,,Single,,,,Single
AGEL211243+000921A,DESJ2112+0009,GLAZEBROOK_16773_HST,Observed,0.4451601,2.359,,Single,,Single (?),Arcs are a little lopsided,,,DISCUSS
AGEL212447-412816A,DESJ2124-4128,GLAZEBROOK_16773_HST,Observed,,,,Group?,How close in terms of redshift are the nearby objects?,Single ,,,,DISCUSS
AGEL215122+134718A,DESI-327.8408+13.7884,HUANG_15867_HST,Observed,0.202,0.89,,Group,,Group,2 deflectors,,,Group
AGEL215844+025730A,DESI-329.6820+02.9584,HUANG_15867_HST,Observed,0.289,2.081,,Single,,Single,,,,Single
AGEL230305-511502A,DESJ2303-5115,GLAZEBROOK_16773_HST,Observed,,2.5689,0.53,Group,Is it repeated in Huangs catalog?,Group,Larger einstein radii,,,Group
AGEL231812-110604A,DESI-349.5492-11.1012,HUANG_15867_HST,Observed,,2.656,0.71,Single,small perturber nearby,Single,,,,Single
AGEL232128-463049A,DESJ2321-4630,GLAZEBROOK_16773_HST,Observed,,1.7487,0.64,Group,,Group,2-3 deflectors,,,Group
AGEL233459-640407A,DESJ2334-6404,GLAZEBROOK_16773_HST,Observed,,2.495,0.72,Single/Group,one small perturber near main deflector. Should be tested,Group,2-3 deflectors,,,DISCUSS
