mu  pmu  pmuanyl
0.010000 2.486232e+00 1.941180e+00
0.010393 1.973664e+00 1.938919e+00
0.010801 2.301955e+00 1.936572e+00
0.011225 1.938128e+00 1.934137e+00
0.011665 1.705069e+00 1.931611e+00
0.012123 2.153371e+00 1.928990e+00
0.012599 2.121366e+00 1.926272e+00
0.013094 2.088707e+00 1.923452e+00
0.013608 2.101165e+00 1.920527e+00
0.014142 1.889942e+00 1.917494e+00
0.014697 2.495224e+00 1.914349e+00
0.015274 1.994028e+00 1.911087e+00
0.015873 1.997022e+00 1.907705e+00
0.016496 1.733198e+00 1.904199e+00
0.017144 2.175300e+00 1.900564e+00
0.017817 1.988476e+00 1.896797e+00
0.018516 2.114773e+00 1.892892e+00
0.019243 2.196391e+00 1.888845e+00
0.019999 1.958028e+00 1.884651e+00
0.020784 2.003691e+00 1.880306e+00
0.021600 2.186991e+00 1.875805e+00
0.022448 1.882868e+00 1.871142e+00
0.023329 1.918320e+00 1.866313e+00
0.024245 1.871497e+00 1.861311e+00
0.025196 2.392851e+00 1.856132e+00
0.026185 1.732783e+00 1.850770e+00
0.027213 1.895733e+00 1.845219e+00
0.028282 2.131809e+00 1.839474e+00
0.029392 1.882107e+00 1.833529e+00
0.030546 1.994150e+00 1.827377e+00
0.031745 1.977565e+00 1.821013e+00
0.032991 1.884026e+00 1.814431e+00
0.034286 2.084791e+00 1.807624e+00
0.035632 1.901379e+00 1.800585e+00
0.037031 1.863128e+00 1.793309e+00
0.038484 1.954262e+00 1.785789e+00
0.039995 1.895984e+00 1.778018e+00
0.041565 1.973906e+00 1.769990e+00
0.043197 1.928124e+00 1.761697e+00
0.044893 1.702993e+00 1.753134e+00
0.046655 1.918438e+00 1.744294e+00
0.048486 1.871612e+00 1.735169e+00
0.050390 1.837921e+00 1.725753e+00
0.052368 1.887188e+00 1.716040e+00
0.054423 1.895849e+00 1.706023e+00
0.056560 1.714344e+00 1.695695e+00
0.058780 1.882222e+00 1.685049e+00
0.061088 1.719551e+00 1.674080e+00
0.063486 1.772085e+00 1.662781e+00
0.065978 1.799356e+00 1.651146e+00
0.068568 1.785778e+00 1.639169e+00
0.071260 1.735769e+00 1.626844e+00
0.074057 1.779313e+00 1.614166e+00
0.076964 1.607116e+00 1.601129e+00
0.079985 1.748454e+00 1.587729e+00
0.083125 1.652500e+00 1.573961e+00
0.086388 1.698004e+00 1.559821e+00
0.089780 1.654635e+00 1.545305e+00
0.093304 1.632105e+00 1.530408e+00
0.096967 1.621736e+00 1.515130e+00
0.100773 1.585150e+00 1.499466e+00
0.104729 1.572753e+00 1.483415e+00
0.108840 1.604718e+00 1.466976e+00
0.113113 1.505638e+00 1.450149e+00
0.117553 1.517503e+00 1.432932e+00
0.122168 1.541586e+00 1.415327e+00
0.126964 1.488251e+00 1.397335e+00
0.131948 1.474432e+00 1.378958e+00
0.137127 1.459532e+00 1.360200e+00
0.142510 1.439294e+00 1.341064e+00
0.148105 1.397518e+00 1.321556e+00
0.153919 1.397226e+00 1.301681e+00
0.159961 1.398849e+00 1.281445e+00
0.166240 1.316099e+00 1.260858e+00
0.172766 1.298765e+00 1.239926e+00
0.179548 1.318943e+00 1.218662e+00
0.186596 1.252468e+00 1.197074e+00
0.193921 1.285288e+00 1.175176e+00
0.201534 1.221319e+00 1.152981e+00
0.209445 1.192992e+00 1.130502e+00
0.217667 1.156496e+00 1.107757e+00
0.226212 1.154027e+00 1.084760e+00
0.235092 1.152738e+00 1.061530e+00
0.244320 1.093932e+00 1.038086e+00
0.253911 1.091778e+00 1.014447e+00
0.263879 1.038761e+00 9.906348e-01
0.274238 1.033521e+00 9.666710e-01
0.285003 1.014110e+00 9.425785e-01
0.296191 9.611147e-01 9.183811e-01
0.307818 9.470222e-01 8.941036e-01
0.319902 9.501098e-01 8.697714e-01
0.332460 8.805691e-01 8.454105e-01
0.345511 8.742917e-01 8.210479e-01
0.359074 8.360742e-01 7.967108e-01
0.373170 8.261463e-01 7.724269e-01
0.387819 7.837215e-01 7.482242e-01
0.403043 7.957565e-01 7.241312e-01
0.418865 7.241489e-01 7.001760e-01
0.435307 7.153579e-01 6.763870e-01
0.452396 6.979543e-01 6.527926e-01
0.470155 6.649804e-01 6.294205e-01
0.488611 6.385900e-01 6.062983e-01
0.507792 6.205889e-01 5.834531e-01
0.527725 5.936140e-01 5.609111e-01
0.548442 5.745915e-01 5.386981e-01
0.569971 5.419824e-01 5.168387e-01
0.592346 5.299047e-01 4.953565e-01
0.615599 4.997919e-01 4.742743e-01
0.639764 4.760556e-01 4.536132e-01
0.664879 4.627478e-01 4.333932e-01
0.690979 4.335746e-01 4.136331e-01
0.718104 4.223905e-01 3.943499e-01
0.746294 4.064356e-01 3.755591e-01
0.775590 3.678428e-01 3.572745e-01
0.806036 3.539483e-01 3.395085e-01
0.837678 3.517087e-01 3.222716e-01
0.870561 3.141485e-01 3.055725e-01
0.904736 3.091523e-01 2.894182e-01
0.940252 2.954915e-01 2.738141e-01
0.977162 2.627031e-01 2.587636e-01
1.015521 2.601247e-01 2.442688e-01
1.055386 2.514769e-01 2.303296e-01
1.096816 2.266772e-01 2.169447e-01
1.139872 2.153885e-01 2.041110e-01
1.184619 2.014811e-01 1.918240e-01
1.231122 1.963949e-01 1.800778e-01
1.279450 1.739167e-01 1.688650e-01
1.329676 1.650101e-01 1.581770e-01
1.381873 1.583274e-01 1.480042e-01
1.436120 1.471533e-01 1.383357e-01
1.492496 1.345151e-01 1.291596e-01
1.551084 1.242247e-01 1.204635e-01
1.611973 1.141341e-01 1.122338e-01
1.675252 1.064837e-01 1.044565e-01
1.741016 9.460734e-02 9.711704e-02
1.809360 8.931613e-02 9.020023e-02
1.880388 8.131474e-02 8.369066e-02
1.954204 7.569875e-02 7.757264e-02
2.030918 6.733053e-02 7.183029e-02
2.110643 6.213687e-02 6.644765e-02
2.193497 6.035651e-02 6.140876e-02
2.279605 9.052326e-02 5.669771e-02
2.369092 9.995964e-02 5.229876e-02
2.462092 8.734809e-02 4.819634e-02
2.558744 7.724707e-02 4.437516e-02
2.659189 6.731703e-02 4.082024e-02
2.763577 5.487820e-02 3.751695e-02
2.872063 4.501435e-02 3.445107e-02
2.984808 3.644209e-02 3.160879e-02
3.101979 2.524721e-02 2.897676e-02
3.223749 1.754534e-02 2.654213e-02
3.350299 9.461679e-03 2.429252e-02
3.481818 2.320700e-03 2.221608e-02
3.618499 0.000000e+00 2.030147e-02
3.760545 0.000000e+00 1.853787e-02
3.908168 0.000000e+00 1.691499e-02
4.061586 1.224267e-03 1.542305e-02
4.221026 3.534067e-03 1.405278e-02
4.386726 5.525935e-03 1.279545e-02
4.558929 6.407913e-03 1.164277e-02
4.737893 7.084189e-03 1.058699e-02
4.923883 7.069065e-03 9.620788e-03
5.117173 4.372744e-03 8.737309e-03
5.318051 3.623188e-03 7.930135e-03
5.526815 3.711254e-03 7.193266e-03
5.743774 3.138212e-03 6.521102e-03
5.969250 3.436180e-03 5.908428e-03
6.203576 3.005805e-03 5.350391e-03
6.447102 2.892267e-03 4.842483e-03
6.700188 2.783018e-03 4.380524e-03
6.963208 1.874526e-03 3.960644e-03
7.236553 2.404960e-03 3.579262e-03
7.520629 2.314118e-03 3.233069e-03
7.815857 1.510980e-03 2.919016e-03
8.122674 1.913034e-03 2.634290e-03
8.441535 1.178095e-03 2.376305e-03
8.772913 1.842091e-03 2.142683e-03
9.117299 9.544286e-04 1.931240e-03
9.475205 9.839755e-04 1.739972e-03
9.847161 1.388652e-03 1.567046e-03
10.233718 6.680991e-04 1.410780e-03
10.635450 8.181894e-04 1.269640e-03
11.052951 7.872840e-04 1.142220e-03
11.486843 8.116564e-04 1.027240e-03
11.937766 4.685987e-04 9.235323e-04
12.406392 4.508984e-04 8.300310e-04
12.893413 5.302814e-04 7.457670e-04
13.399553 5.566377e-04 6.698584e-04
